stream_index	book	chapter	verse	g_idx	predication_id	finite_verb	finite_lemma	finite_morphgnt	finite_compact	nbla_idx	nbla_text	subject_status	subject_source	subject_token	subject_person	subject_number	independence_status	independence_source	subordination_status	subordination_source	subordination_markers	certainty_finite_verb	certainty_predication	certainty_independence
18	1corintios	1	14	01	1corintios-1-14-P01	εὐχαριστῶ	εὐχαριστέω	V- 1PAI-S--	V-PAI-1S	01-04	doy gracias a dios	confirmed	finite_verb_morphology		1	S	candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
19	1corintios	1	14	05	1corintios-1-14-P02	ἐβάπτισα	βαπτίζω	V- 1AAI-S--	V-AAI-1S	07	bauticé	confirmed	finite_verb_morphology		1	S	unresolved	subordination_marker_scan_only	candidate	explicit_marker_after_previous_finite_before_current_finite	"[{""form"": ""ὅτι"", ""key"": ""οτι"", ""token"": ""02""}]"	confirmed	candidate	unresolved
20	1corintios	1	15	04	1corintios-1-15-P01	εἴπῃ	λέγω	V- 3AAS-S--	V-AAS-3S	04	diga	candidate	nearest_agreeing_nominative_no_visible_boundary	03			unresolved	subordination_marker_scan_only	candidate	explicit_marker_after_previous_finite_before_current_finite	"[{""form"": ""ἵνα"", ""key"": ""ινα"", ""token"": ""01""}]"	confirmed	candidate	unresolved
21	1corintios	1	15	10	1corintios-1-15-P02	ἐβαπτίσθητε	βαπτίζω	V- 2API-P--	V-API-2P	06-07	fueron bautizados	confirmed	finite_verb_morphology		2	P	unresolved	subordination_marker_scan_only	candidate	explicit_marker_after_previous_finite_before_current_finite	"[{""form"": ""ὅτι"", ""key"": ""οτι"", ""token"": ""05""}]"	confirmed	candidate	unresolved
22	1corintios	1	16	01	1corintios-1-16-P01	ἐβάπτισα	βαπτίζω	V- 1AAI-S--	V-AAI-1S	02	bauticé	confirmed	finite_verb_morphology		1	S	candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
23	1corintios	1	16	09	1corintios-1-16-P02	οἶδα	οἶδα	V- 1XAI-S--	V-XAI-1S	14	sé	confirmed	finite_verb_morphology		1	S	candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
24	1corintios	1	16	13	1corintios-1-16-P03	ἐβάπτισα	βαπτίζω	V- 1AAI-S--	V-AAI-1S	16	bauticé	confirmed	finite_verb_morphology		1	S	unresolved	subordination_marker_scan_only	candidate	explicit_marker_after_previous_finite_before_current_finite	"[{""form"": ""εἴ"", ""key"": ""ει"", ""token"": ""10""}]"	confirmed	candidate	unresolved
25	1corintios	1	17	03	1corintios-1-17-P01	ἀπέστειλέν	ἀποστέλλω	V- 3AAI-S--	V-AAI-3S	05	envió	confirmed	finite_verb_morphology		3	S	candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
26	1corintios	1	17	15	1corintios-1-17-P02	κενωθῇ	κενόω	V- 3APS-S--	V-APS-3S	20-22	se haga vana	confirmed	finite_verb_morphology		3	S	unresolved	subordination_marker_scan_only	candidate	explicit_marker_after_previous_finite_before_current_finite	"[{""form"": ""ἵνα"", ""key"": ""ινα"", ""token"": ""13""}]"	confirmed	candidate	unresolved
27	1corintios	1	18	11	1corintios-1-18-P01	ἐστίν	εἰμί	V- 3PAI-S--	V-PAI-3S	07	es	candidate	nearest_agreeing_nominative_no_visible_boundary	10			candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
28	1corintios	1	18	18	1corintios-1-18-P02	ἐστιν	εἰμί	V- 3PAI-S--	V-PAI-3S	19	es	candidate	nearest_agreeing_nominative_no_visible_boundary	16			candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
29	1corintios	1	19	01	1corintios-1-19-P01	γέγραπται	γράφω	V- 3XPI-S--	V-XPI-3S	02-03	está escrito	confirmed	finite_verb_morphology		3	S	candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
30	1corintios	1	19	03	1corintios-1-19-P02	ἀπολῶ	ἀπόλλυμι	V- 1FAI-S--	V-FAI-1S	04	destruiré	confirmed	finite_verb_morphology		1	S	candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
31	1corintios	1	19	13	1corintios-1-19-P03	ἀθετήσω	ἀθετέω	V- 1FAI-S--	V-FAI-1S	16	desecharé	confirmed	finite_verb_morphology		1	S	candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
32	1corintios	1	20	11	1corintios-1-20-P01	ἐμώρανεν	μωραίνω	V- 3AAI-S--	V-AAI-3S	19-20,22,28-29	ha hecho que sea necedad	candidate	nearest_agreeing_nominative_no_visible_boundary	06			candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
33	1corintios	1	21	09	1corintios-1-21-P01	ἔγνω	γινώσκω	V- 3AAI-S--	V-AAI-3S	12	conoció	confirmed	finite_verb_morphology		3	S	unresolved	subordination_marker_scan_only	candidate	explicit_marker_after_previous_finite_before_current_finite	"[{""form"": ""ἐπειδὴ"", ""key"": ""επειδη"", ""token"": ""01""}]"	confirmed	candidate	unresolved
34	1corintios	1	21	17	1corintios-1-21-P02	εὐδόκησεν	εὐδοκέω	V- 3AAI-S--	V-AAI-3S	21	agradó	candidate	nearest_agreeing_nominative_no_visible_boundary	11			candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
35	1corintios	1	22	05	1corintios-1-22-P01	αἰτοῦσιν	αἰτέω	V- 3PAI-P--	V-PAI-3P	06	piden	candidate	nearest_agreeing_nominative_no_visible_boundary	03			unresolved	subordination_marker_scan_only	candidate	explicit_marker_after_previous_finite_before_current_finite	"[{""form"": ""ἐπειδὴ"", ""key"": ""επειδη"", ""token"": ""01""}]"	confirmed	candidate	unresolved
36	1corintios	1	22	09	1corintios-1-22-P02	ζητοῦσιν	ζητέω	V- 3PAI-P--	V-PAI-3P	11	buscan	candidate	nearest_agreeing_nominative_no_visible_boundary	07			candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
37	1corintios	1	23	03	1corintios-1-23-P01	κηρύσσομεν	κηρύσσω	V- 1PAI-P--	V-PAI-1P	03	predicamos	confirmed	finite_verb_morphology		1	P	candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
38	1corintios	1	25	09	1corintios-1-25-P01	ἐστίν	εἰμί	V- 3PAI-S--	V-PAI-3S	06	es	candidate	nearest_agreeing_nominative_no_visible_boundary	06			unresolved	subordination_marker_scan_only	candidate	explicit_marker_after_previous_finite_before_current_finite	"[{""form"": ""ὅτι"", ""key"": ""οτι"", ""token"": ""01""}]"	confirmed	candidate	unresolved
39	1corintios	1	26	01	1corintios-1-26-P01	βλέπετε	βλέπω	V- 2PAI-P--	V-PAI-2P	02	consideren	confirmed	finite_verb_morphology		2	P	candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
40	1corintios	1	27	06	1corintios-1-27-P01	ἐξελέξατο	ἐκλέγομαι	V- 3AMI-S--	V-AMI-3S	04-05	ha escogido	confirmed	finite_verb_morphology		3	S	candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
41	1corintios	1	27	10	1corintios-1-27-P02	καταισχύνῃ	καταισχύνω	V- 3PAS-S--	V-PAS-3S	11	avergonzar	candidate	nearest_agreeing_nominative_no_visible_boundary	08			unresolved	subordination_marker_scan_only	candidate	explicit_marker_after_previous_finite_before_current_finite	"[{""form"": ""ἵνα"", ""key"": ""ινα"", ""token"": ""09""}]"	confirmed	candidate	unresolved
42	1corintios	1	27	18	1corintios-1-27-P03	ἐξελέξατο	ἐκλέγομαι	V- 3AMI-S--	V-AMI-3S	17-18	ha escogido	confirmed	finite_verb_morphology		3	S	candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
43	1corintios	1	27	22	1corintios-1-27-P04	καταισχύνῃ	καταισχύνω	V- 3PAS-S--	V-PAS-3S	24	avergonzar	candidate	nearest_agreeing_nominative_no_visible_boundary	20			unresolved	subordination_marker_scan_only	candidate	explicit_marker_after_previous_finite_before_current_finite	"[{""form"": ""ἵνα"", ""key"": ""ινα"", ""token"": ""21""}]"	confirmed	candidate	unresolved
44	1corintios	1	28	09	1corintios-1-28-P01	ἐξελέξατο	ἐκλέγομαι	V- 3AMI-S--	V-AMI-3S	03-04	ha escogido	confirmed	finite_verb_morphology		3	S	candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
45	1corintios	1	28	18	1corintios-1-28-P02	καταργήσῃ	καταργέω	V- 3AAS-S--	V-AAS-3S	16	anular	confirmed	finite_verb_morphology		3	S	unresolved	subordination_marker_scan_only	candidate	explicit_marker_after_previous_finite_before_current_finite	"[{""form"": ""ἵνα"", ""key"": ""ινα"", ""token"": ""15""}]"	confirmed	candidate	unresolved
46	1corintios	1	29	03	1corintios-1-29-P01	καυχήσηται	καυχάομαι	V- 3AMS-S--	V-AMS-3S	04-05	se jacte	confirmed	finite_verb_morphology		3	S	unresolved	subordination_marker_scan_only	candidate	explicit_marker_after_previous_finite_before_current_finite	"[{""form"": ""ὅπως"", ""key"": ""οπως"", ""token"": ""01""}]"	confirmed	candidate	unresolved
47	1corintios	1	30	05	1corintios-1-30-P01	ἐστε	εἰμί	V- 2PAI-P--	V-PAI-2P	05	están	confirmed	finite_verb_morphology		2	P	candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
48	1corintios	1	30	10	1corintios-1-30-P02	ἐγενήθη	γίνομαι	V- 3API-S--	V-API-3S	12-13	se hizo	candidate	nearest_agreeing_nominative_no_visible_boundary	09			candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
49	1corintios	1	31	03	1corintios-1-31-P01	γέγραπται	γράφω	V- 3XPI-S--	V-XPI-3S	05-06	está escrito	confirmed	finite_verb_morphology		3	S	unresolved	subordination_marker_scan_only	candidate	explicit_marker_after_previous_finite_before_current_finite	"[{""form"": ""ἵνα"", ""key"": ""ινα"", ""token"": ""01""}, {""form"": ""καθὼς"", ""key"": ""καθως"", ""token"": ""02""}]"	confirmed	candidate	unresolved
50	1corintios	1	31	08	1corintios-1-31-P02	καυχάσθω	καυχάομαι	V- 3PMD-S--	V-PMD-3S	11-13	que se gloríe	candidate	nearest_agreeing_nominative_no_visible_boundary	04			candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
51	1corintios	2	1	06	1corintios-2-1-P01	ἦλθον	ἔρχομαι	V- 1AAI-S--	V-AAI-1S	14	fui	confirmed	finite_verb_morphology		1	S	candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
52	1corintios	2	2	03	1corintios-2-2-P01	ἔκρινά	κρίνω	V- 1AAI-S--	V-AAI-1S	03-04	me propuse	confirmed	finite_verb_morphology		1	S	candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
53	1corintios	2	3	11	1corintios-2-3-P01	ἐγενόμην	γίνομαι	V- 1AMI-S--	V-AMI-1S	01	estuve	confirmed	finite_verb_morphology		1	S	candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
54	1corintios	2	5	06	1corintios-2-5-P01	ᾖ	εἰμί	V- 3PAS-S--	V-PAS-3S	08	descanse	candidate	nearest_agreeing_nominative_no_visible_boundary	03			unresolved	subordination_marker_scan_only	candidate	explicit_marker_after_previous_finite_before_current_finite	"[{""form"": ""ἵνα"", ""key"": ""ινα"", ""token"": ""01""}]"	confirmed	candidate	unresolved
55	1corintios	2	6	03	1corintios-2-6-P01	λαλοῦμεν	λαλέω	V- 1PAI-P--	V-PAI-1P	03	hablamos	confirmed	finite_verb_morphology		1	P	candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
56	1corintios	2	7	02	1corintios-2-7-P01	λαλοῦμεν	λαλέω	V- 1PAI-P--	V-PAI-1P	03	hablamos	confirmed	finite_verb_morphology		1	P	candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
57	1corintios	2	7	10	1corintios-2-7-P02	προώρισεν	προορίζω	V- 3AAI-S--	V-AAI-3S	19	predestinó	confirmed	finite_verb_morphology		3	S	candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
58	1corintios	2	8	08	1corintios-2-8-P01	ἔγνωκεν	γινώσκω	V- 3XAI-S--	V-XAI-3S	11-12	ha entendido	candidate	nearest_agreeing_nominative_no_visible_boundary	02			candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
59	1corintios	2	8	11	1corintios-2-8-P02	ἔγνωσαν	γινώσκω	V- 3AAI-P--	V-AAI-3P	15-17	la hubieran entendido	confirmed	finite_verb_morphology		3	P	unresolved	subordination_marker_scan_only	candidate	explicit_marker_after_previous_finite_before_current_finite	"[{""form"": ""εἰ"", ""key"": ""ει"", ""token"": ""09""}]"	confirmed	candidate	unresolved
60	1corintios	2	8	18	1corintios-2-8-P03	ἐσταύρωσαν	σταυρόω	V- 3AAI-P--	V-AAI-3P	20	crucificado	confirmed	finite_verb_morphology		3	P	candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
61	1corintios	2	9	03	1corintios-2-9-P01	γέγραπται	γράφω	V- 3XPI-S--	V-XPI-3S	03-04	está escrito	confirmed	finite_verb_morphology		3	S	unresolved	subordination_marker_scan_only	candidate	explicit_marker_after_previous_finite_before_current_finite	"[{""form"": ""καθὼς"", ""key"": ""καθως"", ""token"": ""02""}]"	confirmed	candidate	unresolved
62	1corintios	2	9	07	1corintios-2-9-P02	εἶδεν	ὁράω	V- 3AAI-S--	V-AAI-3S	09	vio	candidate	nearest_agreeing_nominative_no_visible_boundary	05			candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
63	1corintios	2	9	11	1corintios-2-9-P03	ἤκουσεν	ἀκούω	V- 3AAI-S--	V-AAI-3S	12	oyó	candidate	nearest_agreeing_nominative_no_visible_boundary	09			candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
64	1corintios	2	9	17	1corintios-2-9-P04	ἀνέβη	ἀναβαίνω	V- 3AAI-S--	V-AAI-3S	14-15	han entrado	confirmed	finite_verb_morphology		3	S	candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
65	1corintios	2	9	19	1corintios-2-9-P05	ἡτοίμασεν	ἑτοιμάζω	V- 3AAI-S--	V-AAI-3S	25-26	ha preparado	confirmed	finite_verb_morphology		3	S	candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
66	1corintios	2	10	03	1corintios-2-10-P01	ἀπεκάλυψεν	ἀποκαλύπτω	V- 3AAI-S--	V-AAI-3S	04-05	las reveló	confirmed	finite_verb_morphology		3	S	candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
67	1corintios	2	10	13	1corintios-2-10-P02	ἐραυνᾷ	ἐραυνάω	V- 3PAI-S--	V-PAI-3S	14-15	lo escudriña	candidate	nearest_agreeing_nominative_no_visible_boundary	11			candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
68	1corintios	2	11	03	1corintios-2-11-P01	οἶδεν	οἶδα	V- 3XAI-S--	V-XAI-3S	06	conoce	confirmed	finite_verb_morphology		3	S	candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
69	1corintios	2	11	23	1corintios-2-11-P02	ἔγνωκεν	γινώσκω	V- 3XAI-S--	V-XAI-3S	23	conoce	candidate	nearest_agreeing_nominative_no_visible_boundary	22			unresolved	subordination_marker_scan_only	candidate	explicit_marker_after_previous_finite_before_current_finite	"[{""form"": ""εἰ"", ""key"": ""ει"", ""token"": ""08""}]"	confirmed	candidate	unresolved
70	1corintios	2	12	08	1corintios-2-12-P01	ἐλάβομεν	λαμβάνω	V- 1AAI-P--	V-AAI-1P	03-04	hemos recibido	confirmed	finite_verb_morphology		1	P	candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
71	1corintios	2	12	17	1corintios-2-12-P02	εἰδῶμεν	οἶδα	V- 1XAS-P--	V-XAS-1P	19	conozcamos	confirmed	finite_verb_morphology		1	P	unresolved	subordination_marker_scan_only	candidate	explicit_marker_after_previous_finite_before_current_finite	"[{""form"": ""ἵνα"", ""key"": ""ινα"", ""token"": ""16""}]"	confirmed	candidate	unresolved
72	1corintios	2	13	03	1corintios-2-13-P01	λαλοῦμεν	λαλέω	V- 1PAI-P--	V-PAI-1P	05	hablamos	confirmed	finite_verb_morphology		1	P	candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
73	1corintios	2	14	05	1corintios-2-14-P01	δέχεται	δέχομαι	V- 3PMI-S--	V-PMI-3S	06	acepta	candidate	nearest_agreeing_nominative_no_visible_boundary	03			candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
74	1corintios	2	14	14	1corintios-2-14-P02	ἐστίν	εἰμί	V- 3PAI-S--	V-PAI-3S	16	son	confirmed	finite_verb_morphology		3	S	candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
75	1corintios	2	14	17	1corintios-2-14-P03	δύναται	δύναμαι	V- 3PMI-S--	V-PMI-3S	20-21	las puede	confirmed	finite_verb_morphology		3	S	candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
76	1corintios	2	14	21	1corintios-2-14-P04	ἀνακρίνεται	ἀνακρίνω	V- 3PPI-S--	V-PPI-3S	24-28	son cosas que se disciernen	confirmed	finite_verb_morphology		3	S	unresolved	subordination_marker_scan_only	candidate	explicit_marker_after_previous_finite_before_current_finite	"[{""form"": ""ὅτι"", ""key"": ""οτι"", ""token"": ""19""}]"	confirmed	candidate	unresolved
77	1corintios	2	15	04	1corintios-2-15-P01	ἀνακρίνει	ἀνακρίνω	V- 3PAI-S--	V-PAI-3S	07	juzga	candidate	nearest_agreeing_nominative_no_visible_boundary	03			candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
78	1corintios	2	15	11	1corintios-2-15-P02	ἀνακρίνεται	ἀνακρίνω	V- 3PPI-S--	V-PPI-3S	13-15	no es juzgado	confirmed	finite_verb_morphology		3	S	candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
79	1corintios	2	16	03	1corintios-2-16-P01	ἔγνω	γινώσκω	V- 3AAI-S--	V-AAI-3S	03-04	ha conocido	confirmed	finite_verb_morphology		3	S	candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
80	1corintios	2	16	07	1corintios-2-16-P02	συμβιβάσει	συμβιβάζω	V- 3FAI-S--	V-FAI-3S	12	instruya	candidate	nearest_agreeing_nominative_no_visible_boundary	06			candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
81	1corintios	2	16	13	1corintios-2-16-P03	ἔχομεν	ἔχω	V- 1PAI-P--	V-PAI-1P	15	tenemos	confirmed	finite_verb_morphology		1	P	candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
82	1corintios	3	1	04	1corintios-3-1-P01	ἠδυνήθην	δύναμαι	V- 1API-S--	V-API-1S	06	pude	confirmed	finite_verb_morphology		1	S	candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
83	1corintios	3	2	03	1corintios-3-2-P01	ἐπότισα	ποτίζω	V- 1AAI-S--	V-AAI-1S	02-04	di a beber	confirmed	finite_verb_morphology		1	S	candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
84	1corintios	3	2	08	1corintios-3-2-P02	ἐδύνασθε	δύναμαι	V- 2IMI-P--	V-IMI-2P	12-13	podían recibirlo	confirmed	finite_verb_morphology		2	P	candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
85	1corintios	3	2	13	1corintios-3-2-P03	δύνασθε	δύναμαι	V- 2PMI-P--	V-PMI-2P	19	pueden	confirmed	finite_verb_morphology		2	P	candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
86	1corintios	3	3	04	1corintios-3-3-P01	ἐστε	εἰμί	V- 2PAI-P--	V-PAI-2P	03	son	confirmed	finite_verb_morphology		2	P	candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
87	1corintios	3	3	14	1corintios-3-3-P02	ἐστε	εἰμί	V- 2PAI-P--	V-PAI-2P	13	son	confirmed	finite_verb_morphology		2	P	candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
88	1corintios	3	3	18	1corintios-3-3-P03	περιπατεῖτε	περιπατέω	V- 2PAI-P--	V-PAI-2P	16	andan	confirmed	finite_verb_morphology		2	P	candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
89	1corintios	3	4	03	1corintios-3-4-P01	λέγῃ	λέγω	V- 3PAS-S--	V-PAS-3S	04	dice	confirmed	finite_verb_morphology		3	S	unresolved	subordination_marker_scan_only	candidate	explicit_marker_after_previous_finite_before_current_finite	"[{""form"": ""ὅταν"", ""key"": ""οταν"", ""token"": ""01""}]"	confirmed	candidate	unresolved
90	1corintios	3	4	07	1corintios-3-4-P02	εἰμι	εἰμί	V- 1PAI-S--	V-PAI-1S	06	soy	confirmed	finite_verb_morphology		1	S	candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
91	1corintios	3	4	15	1corintios-3-4-P03	ἐστε	εἰμί	V- 2PAI-P--	V-PAI-2P	16	son	confirmed	finite_verb_morphology		2	P	candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
92	1corintios	3	5	03	1corintios-3-5-P01	ἐστιν	εἰμί	V- 3PAI-S--	V-PAI-3S	02	es	confirmed	finite_verb_morphology		3	S	candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
93	1corintios	3	5	07	1corintios-3-5-P02	ἐστιν	εἰμί	V- 3PAI-S--	V-PAI-3S	07	es	confirmed	finite_verb_morphology		3	S	candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
94	1corintios	3	5	12	1corintios-3-5-P03	ἐπιστεύσατε	πιστεύω	V- 2AAI-P--	V-AAI-2P	13-15	ustedes han creído	confirmed	finite_verb_morphology		2	P	candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
95	1corintios	3	5	18	1corintios-3-5-P04	ἔδωκεν	δίδωμι	V- 3AAI-S--	V-AAI-3S	19-20	dio oportunidad	candidate	nearest_agreeing_nominative_no_visible_boundary	17			unresolved	subordination_marker_scan_only	candidate	explicit_marker_after_previous_finite_before_current_finite	"[{""form"": ""ὡς"", ""key"": ""ως"", ""token"": ""15""}]"	confirmed	candidate	unresolved
