REF	G_IDX	GREEK	LEMMA	RMAC	CURRENT_NBLA_IDX	CURRENT_NBLA_TEXT	CURRENT_ALIGNMENT	REASON	CANDIDATE_NBLA_IDX	CANDIDATE_NBLA_TEXT	SCORE	CONFIDENCE	NOTES	TSV_PATH
1corintios 7:20	09	μενέτω	μένω	V-PAD-3S	-	-	missing	missing finite NBLA	02-03	uno permanezca	61	medium	contains verb-like Spanish token; currently owned by neighboring row G01 with verb-like text	MNA/data/alignments/1corintios/1corintios-7-20.tsv
1corintios 7:24	04	ἐκλήθη	καλέω	V-API-3S	07	en	direct	suspicious finite NBLA surface	04	permanezca	77	high	contains verb-like Spanish token; near current corrupted NBLA index; currently owned by neighboring row G02 with verb-like text	MNA/data/alignments/1corintios/1corintios-7-24.tsv
1corintios 7:24	04	ἐκλήθη	καλέω	V-API-3S	07	en	direct	suspicious finite NBLA surface	01-03	hermanos cada uno	77	high	contains verb-like Spanish token; near current corrupted NBLA index; currently owned by neighboring row G01 with verb-like text	MNA/data/alignments/1corintios/1corintios-7-24.tsv
1corintios 7:24	04	ἐκλήθη	καλέω	V-API-3S	07	en	direct	suspicious finite NBLA surface	02-03	cada uno	77	high	contains verb-like Spanish token; near current corrupted NBLA index; currently owned by neighboring row G01 with verb-like text	MNA/data/alignments/1corintios/1corintios-7-24.tsv
1corintios 7:24	04	ἐκλήθη	καλέω	V-API-3S	07	en	direct	suspicious finite NBLA surface	02-04	cada uno permanezca	77	high	contains verb-like Spanish token; near current corrupted NBLA index; currently owned by neighboring row G01 with verb-like text	MNA/data/alignments/1corintios/1corintios-7-24.tsv
1corintios 7:24	04	ἐκλήθη	καλέω	V-API-3S	07	en	direct	suspicious finite NBLA surface	03-04	uno permanezca	77	high	contains verb-like Spanish token; near current corrupted NBLA index; currently owned by neighboring row G02 with verb-like text	MNA/data/alignments/1corintios/1corintios-7-24.tsv
1corintios 7:25	08	ἔχω	ἔχω	V-PAI-1S	09	del	direct	suspicious finite NBLA surface	07	tengo	102	high	contains verb-like Spanish token; strong known verb word; near current corrupted NBLA index; currently owned by neighboring row G06 with verb-like text	MNA/data/alignments/1corintios/1corintios-7-25.tsv
1corintios 7:25	08	ἔχω	ἔχω	V-PAI-1S	09	del	direct	suspicious finite NBLA surface	05-07	vírgenes no tengo	102	high	contains verb-like Spanish token; strong known verb word; near current corrupted NBLA index; currently owned by neighboring row G04 with verb-like text	MNA/data/alignments/1corintios/1corintios-7-25.tsv
1corintios 7:25	08	ἔχω	ἔχω	V-PAI-1S	09	del	direct	suspicious finite NBLA surface	06-07	no tengo	102	high	contains verb-like Spanish token; strong known verb word; near current corrupted NBLA index; currently owned by neighboring row G06 with verb-like text	MNA/data/alignments/1corintios/1corintios-7-25.tsv
1corintios 7:25	08	ἔχω	ἔχω	V-PAI-1S	09	del	direct	suspicious finite NBLA surface	06-08	no tengo mandamiento	102	high	contains verb-like Spanish token; strong known verb word; near current corrupted NBLA index; currently owned by neighboring row G06 with verb-like text	MNA/data/alignments/1corintios/1corintios-7-25.tsv
1corintios 7:25	08	ἔχω	ἔχω	V-PAI-1S	09	del	direct	suspicious finite NBLA surface	07-08	tengo mandamiento	102	high	contains verb-like Spanish token; strong known verb word; near current corrupted NBLA index; currently owned by neighboring row G06 with verb-like text	MNA/data/alignments/1corintios/1corintios-7-25.tsv
1corintios 7:28	18	ἕξουσιν	ἔχω	V-FAI-3P	22	en	direct	suspicious finite NBLA surface	18	embargo	77	high	contains verb-like Spanish token; near current corrupted NBLA index; currently owned by neighboring row G15 with verb-like text	MNA/data/alignments/1corintios/1corintios-7-28.tsv
1corintios 7:28	18	ἕξουσιν	ἔχω	V-FAI-3P	22	en	direct	suspicious finite NBLA surface	20	tendrán	77	high	contains verb-like Spanish token; near current corrupted NBLA index; currently owned by neighboring row G16 with verb-like text	MNA/data/alignments/1corintios/1corintios-7-28.tsv
1corintios 7:28	18	ἕξουσιν	ἔχω	V-FAI-3P	22	en	direct	suspicious finite NBLA surface	21	problemas	77	high	contains verb-like Spanish token; near current corrupted NBLA index; currently owned by neighboring row G17 with verb-like text	MNA/data/alignments/1corintios/1corintios-7-28.tsv
1corintios 7:28	18	ἕξουσιν	ἔχω	V-FAI-3P	22	en	direct	suspicious finite NBLA surface	23	esta	77	high	contains verb-like Spanish token; near current corrupted NBLA index; currently owned by neighboring row G19 with verb-like text	MNA/data/alignments/1corintios/1corintios-7-28.tsv
1corintios 7:28	18	ἕξουσιν	ἔχω	V-FAI-3P	22	en	direct	suspicious finite NBLA surface	24	vida	77	high	contains verb-like Spanish token; near current corrupted NBLA index; currently owned by neighboring row G20 with verb-like text	MNA/data/alignments/1corintios/1corintios-7-28.tsv
1corintios 7:35	08	λέγω	λέγω	V-PAI-1S	08	para	direct	suspicious finite NBLA surface	05	propio	77	high	contains verb-like Spanish token; near current corrupted NBLA index; currently owned by neighboring row G04 with verb-like text	MNA/data/alignments/1corintios/1corintios-7-35.tsv
1corintios 7:35	08	λέγω	λέγω	V-PAI-1S	08	para	direct	suspicious finite NBLA surface	06	beneficio	77	high	contains verb-like Spanish token; near current corrupted NBLA index; currently owned by neighboring row G06 with verb-like text	MNA/data/alignments/1corintios/1corintios-7-35.tsv
1corintios 7:35	08	λέγω	λέγω	V-PAI-1S	08	para	direct	suspicious finite NBLA surface	09	ponerles	77	high	contains verb-like Spanish token; near current corrupted NBLA index; currently owned by neighboring row G09 with verb-like text	MNA/data/alignments/1corintios/1corintios-7-35.tsv
1corintios 7:35	08	λέγω	λέγω	V-PAI-1S	08	para	direct	suspicious finite NBLA surface	02-04	digo para su	77	high	contains verb-like Spanish token; near current corrupted NBLA index; currently owned by neighboring row G02 with verb-like text	MNA/data/alignments/1corintios/1corintios-7-35.tsv
1corintios 7:35	08	λέγω	λέγω	V-PAI-1S	08	para	direct	suspicious finite NBLA surface	03-04	para su	77	high	contains verb-like Spanish token; near current corrupted NBLA index; currently owned by neighboring row G02 with verb-like text	MNA/data/alignments/1corintios/1corintios-7-35.tsv
1corintios 7:37	14	ἔχει	ἔχω	V-PAI-3S	-	-	missing	missing finite NBLA	21-22	ha decidido	91	high	contains verb-like Spanish token; auxiliary + verbal phrase candidate; currently owned by neighboring row G17 with verb-like text	MNA/data/alignments/1corintios/1corintios-7-37.tsv
1corintios 7:37	14	ἔχει	ἔχω	V-PAI-3S	-	-	missing	missing finite NBLA	21-23	ha decidido en	91	high	contains verb-like Spanish token; auxiliary + verbal phrase candidate; currently owned by neighboring row G17 with verb-like text	MNA/data/alignments/1corintios/1corintios-7-37.tsv
1corintios 7:37	14	ἔχει	ἔχω	V-PAI-3S	-	-	missing	missing finite NBLA	14	tiene	86	high	contains verb-like Spanish token; strong known verb word; currently owned by neighboring row G10 with verb-like text	MNA/data/alignments/1corintios/1corintios-7-37.tsv
1corintios 7:37	14	ἔχει	ἔχω	V-PAI-3S	-	-	missing	missing finite NBLA	12-14	alguna y tiene	86	high	contains verb-like Spanish token; strong known verb word; currently owned by neighboring row G08 with verb-like text	MNA/data/alignments/1corintios/1corintios-7-37.tsv
1corintios 7:37	14	ἔχει	ἔχω	V-PAI-3S	-	-	missing	missing finite NBLA	13-14	y tiene	86	high	contains verb-like Spanish token; strong known verb word; currently owned by neighboring row G10 with verb-like text	MNA/data/alignments/1corintios/1corintios-7-37.tsv
1corintios 7:37	31	ποιήσει	ποιέω	V-FAI-3S	-	-	missing	missing finite NBLA	21-22	ha decidido	91	high	contains verb-like Spanish token; auxiliary + verbal phrase candidate; currently owned by neighboring row G17 with verb-like text	MNA/data/alignments/1corintios/1corintios-7-37.tsv
1corintios 7:37	31	ποιήσει	ποιέω	V-FAI-3S	-	-	missing	missing finite NBLA	21-23	ha decidido en	91	high	contains verb-like Spanish token; auxiliary + verbal phrase candidate; currently owned by neighboring row G17 with verb-like text	MNA/data/alignments/1corintios/1corintios-7-37.tsv
1corintios 7:37	31	ποιήσει	ποιέω	V-FAI-3S	-	-	missing	missing finite NBLA	21-24	ha decidido en su	71	medium	contains verb-like Spanish token; auxiliary + verbal phrase candidate; currently owned by neighboring row G17 with verb-like text	MNA/data/alignments/1corintios/1corintios-7-37.tsv
1corintios 7:37	31	ποιήσει	ποιέω	V-FAI-3S	-	-	missing	missing finite NBLA	21	ha	61	medium	contains verb-like Spanish token; currently owned by neighboring row G17 with verb-like text	MNA/data/alignments/1corintios/1corintios-7-37.tsv
1corintios 7:37	31	ποιήσει	ποιέω	V-FAI-3S	-	-	missing	missing finite NBLA	22	decidido	61	medium	contains verb-like Spanish token; currently owned by neighboring row G18 with verb-like text	MNA/data/alignments/1corintios/1corintios-7-37.tsv
1corintios 8:1	05	οἴδαμεν	οἶδα	V-XAI-1P	11	todos	direct	suspicious finite NBLA surface	09	sabemos	102	high	contains verb-like Spanish token; strong known verb word; near current corrupted NBLA index; currently owned by neighboring row G04 with verb-like text	MNA/data/alignments/1corintios/1corintios-8-1.tsv
1corintios 8:1	05	οἴδαμεν	οἶδα	V-XAI-1P	11	todos	direct	suspicious finite NBLA surface	12	tenemos	102	high	contains verb-like Spanish token; strong known verb word; near current corrupted NBLA index; currently owned by neighboring row G06 with verb-like text	MNA/data/alignments/1corintios/1corintios-8-1.tsv
1corintios 8:1	05	οἴδαμεν	οἶδα	V-XAI-1P	11	todos	direct	suspicious finite NBLA surface	07-09	los ídolos sabemos	102	high	contains verb-like Spanish token; strong known verb word; near current corrupted NBLA index; currently owned by neighboring row G04 with verb-like text	MNA/data/alignments/1corintios/1corintios-8-1.tsv
1corintios 8:1	05	οἴδαμεν	οἶδα	V-XAI-1P	11	todos	direct	suspicious finite NBLA surface	08-09	ídolos sabemos	102	high	contains verb-like Spanish token; strong known verb word; near current corrupted NBLA index; currently owned by neighboring row G04 with verb-like text	MNA/data/alignments/1corintios/1corintios-8-1.tsv
1corintios 8:1	05	οἴδαμεν	οἶδα	V-XAI-1P	11	todos	direct	suspicious finite NBLA surface	08-10	ídolos sabemos que	102	high	contains verb-like Spanish token; strong known verb word; near current corrupted NBLA index; currently owned by neighboring row G04 with verb-like text	MNA/data/alignments/1corintios/1corintios-8-1.tsv
1corintios 8:1	12	φυσιοῖ	φυσιόω	V-PAI-3S	18	el	direct	suspicious finite NBLA surface	20	edifica	102	high	contains verb-like Spanish token; strong known verb word; near current corrupted NBLA index; currently owned by neighboring row G14 with verb-like text	MNA/data/alignments/1corintios/1corintios-8-1.tsv
1corintios 8:1	12	φυσιοῖ	φυσιόω	V-PAI-3S	18	el	direct	suspicious finite NBLA surface	12-14	tenemos conocimiento el	102	high	contains verb-like Spanish token; strong known verb word; near current corrupted NBLA index; currently owned by neighboring row G06 with verb-like text	MNA/data/alignments/1corintios/1corintios-8-1.tsv
1corintios 8:1	12	φυσιοῖ	φυσιόω	V-PAI-3S	18	el	direct	suspicious finite NBLA surface	18-20	el amor edifica	102	high	contains verb-like Spanish token; strong known verb word; near current corrupted NBLA index; currently owned by neighboring row G14 with verb-like text	MNA/data/alignments/1corintios/1corintios-8-1.tsv
1corintios 8:1	12	φυσιοῖ	φυσιόω	V-PAI-3S	18	el	direct	suspicious finite NBLA surface	19-20	amor edifica	102	high	contains verb-like Spanish token; strong known verb word; near current corrupted NBLA index; currently owned by neighboring row G14 with verb-like text	MNA/data/alignments/1corintios/1corintios-8-1.tsv
1corintios 8:1	12	φυσιοῖ	φυσιόω	V-PAI-3S	18	el	direct	suspicious finite NBLA surface	12	tenemos	94	high	contains verb-like Spanish token; strong known verb word; currently owned by neighboring row G06 with verb-like text	MNA/data/alignments/1corintios/1corintios-8-1.tsv
1corintios 8:1	16	οἰκοδομεῖ	οἰκοδομέω	V-PAI-3S	-	-	missing	missing finite NBLA	09	sabemos	86	high	contains verb-like Spanish token; strong known verb word; currently owned by neighboring row G04 with verb-like text	MNA/data/alignments/1corintios/1corintios-8-1.tsv
1corintios 8:1	16	οἰκοδομεῖ	οἰκοδομέω	V-PAI-3S	-	-	missing	missing finite NBLA	12	tenemos	86	high	contains verb-like Spanish token; strong known verb word; currently owned by neighboring row G06 with verb-like text	MNA/data/alignments/1corintios/1corintios-8-1.tsv
1corintios 8:1	16	οἰκοδομεῖ	οἰκοδομέω	V-PAI-3S	-	-	missing	missing finite NBLA	20	edifica	86	high	contains verb-like Spanish token; strong known verb word; currently owned by neighboring row G14 with verb-like text	MNA/data/alignments/1corintios/1corintios-8-1.tsv
1corintios 8:1	16	οἰκοδομεῖ	οἰκοδομέω	V-PAI-3S	-	-	missing	missing finite NBLA	07-09	los ídolos sabemos	86	high	contains verb-like Spanish token; strong known verb word; currently owned by neighboring row G04 with verb-like text	MNA/data/alignments/1corintios/1corintios-8-1.tsv
1corintios 8:1	16	οἰκοδομεῖ	οἰκοδομέω	V-PAI-3S	-	-	missing	missing finite NBLA	08-09	ídolos sabemos	86	high	contains verb-like Spanish token; strong known verb word; currently owned by neighboring row G04 with verb-like text	MNA/data/alignments/1corintios/1corintios-8-1.tsv
1corintios 8:11	01	ἀπόλλυται	ἀπόλλυμι	V-PPI-3S	01	por	direct	suspicious finite NBLA surface	08-09	es débil	99	high	contains verb-like Spanish token; auxiliary + verbal phrase candidate; currently owned by neighboring row G06 with verb-like text	MNA/data/alignments/1corintios/1corintios-8-11.tsv
1corintios 8:11	01	ἀπόλλυται	ἀπόλλυμι	V-PPI-3S	01	por	direct	suspicious finite NBLA surface	08-10	es débil el	99	high	contains verb-like Spanish token; auxiliary + verbal phrase candidate; currently owned by neighboring row G06 with verb-like text	MNA/data/alignments/1corintios/1corintios-8-11.tsv
1corintios 8:11	01	ἀπόλλυται	ἀπόλλυμι	V-PPI-3S	01	por	direct	suspicious finite NBLA surface	08-11	es débil el hermano	79	high	contains verb-like Spanish token; auxiliary + verbal phrase candidate; currently owned by neighboring row G06 with verb-like text	MNA/data/alignments/1corintios/1corintios-8-11.tsv
1corintios 8:11	01	ἀπόλλυται	ἀπόλλυμι	V-PPI-3S	01	por	direct	suspicious finite NBLA surface	03	conocimiento	77	high	contains verb-like Spanish token; near current corrupted NBLA index; currently owned by neighboring row G03 with verb-like text	MNA/data/alignments/1corintios/1corintios-8-11.tsv
1corintios 8:11	01	ἀπόλλυται	ἀπόλλυμι	V-PPI-3S	01	por	direct	suspicious finite NBLA surface	05	perderá	77	high	contains verb-like Spanish token; near current corrupted NBLA index; currently owned by neighboring row G05 with verb-like text	MNA/data/alignments/1corintios/1corintios-8-11.tsv
1corintios 8:11	14	ἀπέθανεν	ἀποθνῄσκω	V-AAI-3S	-	-	missing	missing finite NBLA	08-09	es débil	91	high	contains verb-like Spanish token; auxiliary + verbal phrase candidate; currently owned by neighboring row G06 with verb-like text	MNA/data/alignments/1corintios/1corintios-8-11.tsv
1corintios 8:11	14	ἀπέθανεν	ἀποθνῄσκω	V-AAI-3S	-	-	missing	missing finite NBLA	08-10	es débil el	91	high	contains verb-like Spanish token; auxiliary + verbal phrase candidate; currently owned by neighboring row G06 with verb-like text	MNA/data/alignments/1corintios/1corintios-8-11.tsv
1corintios 8:11	14	ἀπέθανεν	ἀποθνῄσκω	V-AAI-3S	-	-	missing	missing finite NBLA	08-11	es débil el hermano	71	medium	contains verb-like Spanish token; auxiliary + verbal phrase candidate; currently owned by neighboring row G06 with verb-like text	MNA/data/alignments/1corintios/1corintios-8-11.tsv
1corintios 8:11	14	ἀπέθανεν	ἀποθνῄσκω	V-AAI-3S	-	-	missing	missing finite NBLA	05	perderá	61	medium	contains verb-like Spanish token; currently owned by neighboring row G05 with verb-like text	MNA/data/alignments/1corintios/1corintios-8-11.tsv
1corintios 8:11	14	ἀπέθανεν	ἀποθνῄσκω	V-AAI-3S	-	-	missing	missing finite NBLA	08	es	61	medium	contains verb-like Spanish token; currently owned by neighboring row G06 with verb-like text	MNA/data/alignments/1corintios/1corintios-8-11.tsv
1corintios 9:12	18	στέγομεν	στέγω	V-PAI-1P	24	todo	direct	suspicious finite NBLA surface	20	derecho	77	high	contains verb-like Spanish token; near current corrupted NBLA index; currently owned by neighboring row G14 with verb-like text	MNA/data/alignments/1corintios/1corintios-9-12.tsv
1corintios 9:12	18	στέγομεν	στέγω	V-PAI-1P	24	todo	direct	suspicious finite NBLA surface	23	sufrimos	77	high	contains verb-like Spanish token; near current corrupted NBLA index; currently owned by neighboring row G17 with verb-like text	MNA/data/alignments/1corintios/1corintios-9-12.tsv
1corintios 9:12	18	στέγομεν	στέγω	V-PAI-1P	24	todo	direct	suspicious finite NBLA surface	18-20	usado este derecho	77	high	contains verb-like Spanish token; near current corrupted NBLA index; currently owned by neighboring row G13 with verb-like text	MNA/data/alignments/1corintios/1corintios-9-12.tsv
1corintios 9:12	18	στέγομεν	στέγω	V-PAI-1P	24	todo	direct	suspicious finite NBLA surface	19-20	este derecho	77	high	contains verb-like Spanish token; near current corrupted NBLA index; currently owned by neighboring row G13 with verb-like text	MNA/data/alignments/1corintios/1corintios-9-12.tsv
1corintios 9:12	18	στέγομεν	στέγω	V-PAI-1P	24	todo	direct	suspicious finite NBLA surface	19-21	este derecho sino	77	high	contains verb-like Spanish token; near current corrupted NBLA index; currently owned by neighboring row G13 with verb-like text	MNA/data/alignments/1corintios/1corintios-9-12.tsv
1corintios 9:14	05	διέταξεν	διατάσσω	V-AAI-3S	07	los	direct	suspicious finite NBLA surface	03	ordenó	102	high	contains verb-like Spanish token; strong known verb word; near current corrupted NBLA index; currently owned by neighboring row G02 with verb-like text	MNA/data/alignments/1corintios/1corintios-9-14.tsv
1corintios 9:14	05	διέταξεν	διατάσσω	V-AAI-3S	07	los	direct	suspicious finite NBLA surface	01-03	así también ordenó	102	high	contains verb-like Spanish token; strong known verb word; near current corrupted NBLA index; currently owned by neighboring row G02 with verb-like text	MNA/data/alignments/1corintios/1corintios-9-14.tsv
1corintios 9:14	05	διέταξεν	διατάσσω	V-AAI-3S	07	los	direct	suspicious finite NBLA surface	02-03	también ordenó	102	high	contains verb-like Spanish token; strong known verb word; near current corrupted NBLA index; currently owned by neighboring row G02 with verb-like text	MNA/data/alignments/1corintios/1corintios-9-14.tsv
