approved	stem	ref	greek_idx	greek_span	nbla_idx	nbla_span	suggested_type	source	reason	confidence	repeat_count	phrase_key	existing_rule	duplicate_of	yaml_suggestion
	romanos-1-5	romanos 1:5	09-11	πίστεως ἐν πᾶσιν	15-22	promover la obediencia a la fe entre todos	phrase-anchor	validation-failure	contiguous unused NBLA span + adjacent Greek window	0.82	1	πιστεως εν πασιν => promover la obediencia a la fe entre todos	no		"{""match"": {""greek"": [""πίστεως"", ""ἐν"", ""πᾶσιν""]}, ""action"": {""nbla"": [""promover"", ""la"", ""obediencia"", ""a"", ""la"", ""fe"", ""entre"", ""todos""], ""type"": ""expanded"", ""consume"": 8}}"
	romanos-1-5	romanos 1:5	11-13	πᾶσιν τοῖς ἔθνεσιν	15-22	promover la obediencia a la fe entre todos	phrase-anchor	validation-failure	contiguous unused NBLA span + adjacent Greek window; alternate candidate	0.82	1	πασιν τοις εθνεσιν => promover la obediencia a la fe entre todos	no		"{""match"": {""greek"": [""πᾶσιν"", ""τοῖς"", ""ἔθνεσιν""]}, ""action"": {""nbla"": [""promover"", ""la"", ""obediencia"", ""a"", ""la"", ""fe"", ""entre"", ""todos""], ""type"": ""expanded"", ""consume"": 8}}"
yes	romanos-1-5	romanos 1:5	15-16	τοῦ ὀνόματος	29	nombre;	merged-forward	validation-failure	contiguous unused NBLA span + adjacent Greek window	0.60	1	του ονοματος => nombre	no		"{""match"": {""greek"": [""τοῦ"", ""ὀνόματος""]}, ""action"": {""nbla"": [""nombre;""], ""type"": ""merged-forward"", ""consume"": 1}}"
	romanos-1-5	romanos 1:5	16-17	ὀνόματος αὐτοῦ,	29	nombre;	merged-forward	validation-failure	contiguous unused NBLA span + adjacent Greek window; alternate candidate	0.60	1	ονοματος αυτου => nombre	no		"{""match"": {""greek"": [""ὀνόματος"", ""αὐτοῦ,""]}, ""action"": {""nbla"": [""nombre;""], ""type"": ""merged-forward"", ""consume"": 1}}"
	romanos-1-7	romanos 1:7	18-19	καὶ κυρίου	02	todos	merged-forward	validation-failure	contiguous unused NBLA span + adjacent Greek window	0.95	1	και κυριου => todos	no		"{""match"": {""greek"": [""καὶ"", ""κυρίου""]}, ""action"": {""nbla"": [""todos""], ""type"": ""merged-forward"", ""consume"": 1}}"
	romanos-1-7	romanos 1:7	19-20	κυρίου Ἰησοῦ	02	todos	merged-forward	validation-failure	contiguous unused NBLA span + adjacent Greek window; alternate candidate	0.95	1	κυριου ιησου => todos	no		"{""match"": {""greek"": [""κυρίου"", ""Ἰησοῦ""]}, ""action"": {""nbla"": [""todos""], ""type"": ""merged-forward"", ""consume"": 1}}"
	romanos-1-7	romanos 1:7	18-19	καὶ κυρίου	14-18	santos: Gracia y paz a	phrase-anchor	validation-failure	contiguous unused NBLA span + adjacent Greek window	0.95	1	και κυριου => santos gracia y paz a	no		"{""match"": {""greek"": [""καὶ"", ""κυρίου""]}, ""action"": {""nbla"": [""santos:"", ""Gracia"", ""y"", ""paz"", ""a""], ""type"": ""expanded"", ""consume"": 5}}"
	romanos-1-7	romanos 1:7	19-20	κυρίου Ἰησοῦ	14-18	santos: Gracia y paz a	phrase-anchor	validation-failure	contiguous unused NBLA span + adjacent Greek window; alternate candidate	0.95	1	κυριου ιησου => santos gracia y paz a	no		"{""match"": {""greek"": [""κυρίου"", ""Ἰησοῦ""]}, ""action"": {""nbla"": [""santos:"", ""Gracia"", ""y"", ""paz"", ""a""], ""type"": ""expanded"", ""consume"": 5}}"
	romanos-1-9	romanos 1:9	02-03	γάρ μού	19	testigo	merged-forward	validation-failure	contiguous unused NBLA span + adjacent Greek window	0.78	1	γαρ μου => testigo	no		"{""match"": {""greek"": [""γάρ"", ""μού""]}, ""action"": {""nbla"": [""testigo""], ""type"": ""merged-forward"", ""consume"": 1}}"
	romanos-1-9	romanos 1:9	01-03	μάρτυς γάρ μού	19	testigo	merged-forward	validation-failure	contiguous unused NBLA span + adjacent Greek window; alternate candidate	0.78	1	μαρτυς γαρ μου => testigo	no		"{""match"": {""greek"": [""μάρτυς"", ""γάρ"", ""μού""]}, ""action"": {""nbla"": [""testigo""], ""type"": ""merged-forward"", ""consume"": 1}}"
	romanos-1-9	romanos 1:9	02-03	γάρ μού	27	ustedes	merged-forward	validation-failure	contiguous unused NBLA span + adjacent Greek window	0.78	1	γαρ μου => ustedes	no		"{""match"": {""greek"": [""γάρ"", ""μού""]}, ""action"": {""nbla"": [""ustedes""], ""type"": ""merged-forward"", ""consume"": 1}}"
	romanos-1-9	romanos 1:9	01-03	μάρτυς γάρ μού	27	ustedes	merged-forward	validation-failure	contiguous unused NBLA span + adjacent Greek window; alternate candidate	0.78	1	μαρτυς γαρ μου => ustedes	no		"{""match"": {""greek"": [""μάρτυς"", ""γάρ"", ""μού""]}, ""action"": {""nbla"": [""ustedes""], ""type"": ""merged-forward"", ""consume"": 1}}"
yes	romanos-1-11	romanos 1:11	07-08	μεταδῶ χάρισμα	05-08	impartirles algún don espiritual,	phrase-anchor	validation-failure	contiguous unused NBLA span + adjacent Greek window	0.95	1	μεταδω χαρισμα => impartirles algun don espiritual	no		"{""match"": {""greek"": [""μεταδῶ"", ""χάρισμα""]}, ""action"": {""nbla"": [""impartirles"", ""algún"", ""don"", ""espiritual,""], ""type"": ""expanded"", ""consume"": 4}}"
	romanos-1-11	romanos 1:11	08-09	χάρισμα ὑμῖν	05-08	impartirles algún don espiritual,	phrase-anchor	validation-failure	contiguous unused NBLA span + adjacent Greek window; alternate candidate	0.95	1	χαρισμα υμιν => impartirles algun don espiritual	no		"{""match"": {""greek"": [""χάρισμα"", ""ὑμῖν""]}, ""action"": {""nbla"": [""impartirles"", ""algún"", ""don"", ""espiritual,""], ""type"": ""expanded"", ""consume"": 4}}"
	romanos-1-12	romanos 1:12	11-12	πίστεως ὑμῶν	22-25	ustedes como la mía.	phrase-anchor	validation-failure	contiguous unused NBLA span + adjacent Greek window	0.95	1	πιστεως υμων => ustedes como la mia	no		"{""match"": {""greek"": [""πίστεως"", ""ὑμῶν""]}, ""action"": {""nbla"": [""ustedes"", ""como"", ""la"", ""mía.""], ""type"": ""expanded"", ""consume"": 4}}"
	romanos-1-12	romanos 1:12	10-12	ἀλλήλοις πίστεως ὑμῶν	22-25	ustedes como la mía.	phrase-anchor	validation-failure	contiguous unused NBLA span + adjacent Greek window; alternate candidate	0.95	1	αλληλοις πιστεως υμων => ustedes como la mia	no		"{""match"": {""greek"": [""ἀλλήλοις"", ""πίστεως"", ""ὑμῶν""]}, ""action"": {""nbla"": [""ustedes"", ""como"", ""la"", ""mía.""], ""type"": ""expanded"", ""consume"": 4}}"
	romanos-1-13	romanos 1:13	23-24	ἐν ὑμῖν	01	Y	merged-forward	validation-failure	contiguous unused NBLA span + adjacent Greek window	0.95	1	εν υμιν => y	no		"{""match"": {""greek"": [""ἐν"", ""ὑμῖν""]}, ""action"": {""nbla"": [""Y""], ""type"": ""merged-forward"", ""consume"": 1}}"
	romanos-1-13	romanos 1:13	24-25	ὑμῖν καθὼς	01	Y	merged-forward	validation-failure	contiguous unused NBLA span + adjacent Greek window; alternate candidate	0.95	1	υμιν καθως => y	no		"{""match"": {""greek"": [""ὑμῖν"", ""καθὼς""]}, ""action"": {""nbla"": [""Y""], ""type"": ""merged-forward"", ""consume"": 1}}"
	romanos-1-13	romanos 1:13	23-24	ἐν ὑμῖν	14	ir	merged-forward	validation-failure	contiguous unused NBLA span + adjacent Greek window	0.95	1	εν υμιν => ir	no		"{""match"": {""greek"": [""ἐν"", ""ὑμῖν""]}, ""action"": {""nbla"": [""ir""], ""type"": ""merged-forward"", ""consume"": 1}}"
	romanos-1-13	romanos 1:13	24-25	ὑμῖν καθὼς	14	ir	merged-forward	validation-failure	contiguous unused NBLA span + adjacent Greek window; alternate candidate	0.95	1	υμιν καθως => ir	no		"{""match"": {""greek"": [""ὑμῖν"", ""καθὼς""]}, ""action"": {""nbla"": [""ir""], ""type"": ""merged-forward"", ""consume"": 1}}"
	romanos-1-13	romanos 1:13	23-24	ἐν ὑμῖν	21-25	he visto impedido, a fin	phrase-anchor	validation-failure	contiguous unused NBLA span + adjacent Greek window	0.95	1	εν υμιν => he visto impedido a fin	no		"{""match"": {""greek"": [""ἐν"", ""ὑμῖν""]}, ""action"": {""nbla"": [""he"", ""visto"", ""impedido,"", ""a"", ""fin""], ""type"": ""expanded"", ""consume"": 5}}"
	romanos-1-13	romanos 1:13	24-25	ὑμῖν καθὼς	21-25	he visto impedido, a fin	phrase-anchor	validation-failure	contiguous unused NBLA span + adjacent Greek window; alternate candidate	0.95	1	υμιν καθως => he visto impedido a fin	no		"{""match"": {""greek"": [""ὑμῖν"", ""καθὼς""]}, ""action"": {""nbla"": [""he"", ""visto"", ""impedido,"", ""a"", ""fin""], ""type"": ""expanded"", ""consume"": 5}}"
	romanos-1-14	romanos 1:14	08-10	ἀνοήτοις ὀφειλέτης εἰμί·	13-21	para con los sabios como para con los ignorantes.	phrase-anchor	validation-failure	contiguous unused NBLA span + adjacent Greek window	0.82	1	ανοητοις οφειλετης ειμι => para con los sabios como para con los ignorantes	no		"{""match"": {""greek"": [""ἀνοήτοις"", ""ὀφειλέτης"", ""εἰμί·""]}, ""action"": {""nbla"": [""para"", ""con"", ""los"", ""sabios"", ""como"", ""para"", ""con"", ""los"", ""ignorantes.""], ""type"": ""expanded"", ""consume"": 9}}"
	romanos-1-15	romanos 1:15	08-10	τοῖς ἐν Ῥώμῃ	02-09	que, por mi parte, ansioso estoy de anunciar	phrase-anchor	validation-failure	contiguous unused NBLA span + adjacent Greek window	0.95	1	τοις εν ρωμη => que por mi parte ansioso estoy de anunciar	no		"{""match"": {""greek"": [""τοῖς"", ""ἐν"", ""Ῥώμῃ""]}, ""action"": {""nbla"": [""que,"", ""por"", ""mi"", ""parte,"", ""ansioso"", ""estoy"", ""de"", ""anunciar""], ""type"": ""expanded"", ""consume"": 8}}"
	romanos-1-15	romanos 1:15	09-11	ἐν Ῥώμῃ εὐαγγελίσασθαι.	02-09	que, por mi parte, ansioso estoy de anunciar	phrase-anchor	validation-failure	contiguous unused NBLA span + adjacent Greek window; alternate candidate	0.95	1	εν ρωμη ευαγγελισασθαι => que por mi parte ansioso estoy de anunciar	no		"{""match"": {""greek"": [""ἐν"", ""Ῥώμῃ"", ""εὐαγγελίσασθαι.""]}, ""action"": {""nbla"": [""que,"", ""por"", ""mi"", ""parte,"", ""ansioso"", ""estoy"", ""de"", ""anunciar""], ""type"": ""expanded"", ""consume"": 8}}"
	romanos-1-16	romanos 1:16	02-03	γὰρ ἐπαισχύνομαι	04-08	avergüenzo del evangelio, pues es	phrase-anchor	validation-failure	contiguous unused NBLA span + adjacent Greek window	0.82	1	γαρ επαισχυνομαι => averguenzo del evangelio pues es	no		"{""match"": {""greek"": [""γὰρ"", ""ἐπαισχύνομαι""]}, ""action"": {""nbla"": [""avergüenzo"", ""del"", ""evangelio,"", ""pues"", ""es""], ""type"": ""expanded"", ""consume"": 5}}"
	romanos-1-16	romanos 1:16	04-05	τὸ ⸀εὐαγγέλιον,	04-08	avergüenzo del evangelio, pues es	phrase-anchor	validation-failure	contiguous unused NBLA span + adjacent Greek window; alternate candidate	0.82	1	το ⸀ευαγγελιον => averguenzo del evangelio pues es	no		"{""match"": {""greek"": [""τὸ"", ""⸀εὐαγγέλιον,""]}, ""action"": {""nbla"": [""avergüenzo"", ""del"", ""evangelio,"", ""pues"", ""es""], ""type"": ""expanded"", ""consume"": 5}}"
	romanos-1-16	romanos 1:16	18-19	καὶ Ἕλληνι·	27	griego.	merged-forward	validation-failure	contiguous unused NBLA span + adjacent Greek window	0.60	1	και ελληνι => griego	no		"{""match"": {""greek"": [""καὶ"", ""Ἕλληνι·""]}, ""action"": {""nbla"": [""griego.""], ""type"": ""merged-forward"", ""consume"": 1}}"
	romanos-1-16	romanos 1:16	17-19	πρῶτον καὶ Ἕλληνι·	27	griego.	merged-forward	validation-failure	contiguous unused NBLA span + adjacent Greek window; alternate candidate	0.60	1	πρωτον και ελληνι => griego	no		"{""match"": {""greek"": [""πρῶτον"", ""καὶ"", ""Ἕλληνι·""]}, ""action"": {""nbla"": [""griego.""], ""type"": ""merged-forward"", ""consume"": 1}}"
	romanos-1-17	romanos 1:17	16-17	ἐκ πίστεως	23-25	LA FE VIVIRÁ.	phrase-anchor	validation-failure	contiguous unused NBLA span + adjacent Greek window	0.60	1	εκ πιστεως => la fe vivira	no		"{""match"": {""greek"": [""ἐκ"", ""πίστεως""]}, ""action"": {""nbla"": [""LA"", ""FE"", ""VIVIRÁ.""], ""type"": ""expanded"", ""consume"": 3}}"
	romanos-1-17	romanos 1:17	17-18	πίστεως ζήσεται.	23-25	LA FE VIVIRÁ.	phrase-anchor	validation-failure	contiguous unused NBLA span + adjacent Greek window; alternate candidate	0.60	1	πιστεως ζησεται => la fe vivira	no		"{""match"": {""greek"": [""πίστεως"", ""ζήσεται.""]}, ""action"": {""nbla"": [""LA"", ""FE"", ""VIVIRÁ.""], ""type"": ""expanded"", ""consume"": 3}}"
	romanos-1-18	romanos 1:18	16-17	ἐν ἀδικίᾳ	19-22	que con injusticia restringen	phrase-anchor	validation-failure	contiguous unused NBLA span + adjacent Greek window	0.95	1	εν αδικια => que con injusticia restringen	no		"{""match"": {""greek"": [""ἐν"", ""ἀδικίᾳ""]}, ""action"": {""nbla"": [""que"", ""con"", ""injusticia"", ""restringen""], ""type"": ""expanded"", ""consume"": 4}}"
	romanos-1-18	romanos 1:18	17-18	ἀδικίᾳ κατεχόντων,	19-22	que con injusticia restringen	phrase-anchor	validation-failure	contiguous unused NBLA span + adjacent Greek window; alternate candidate	0.95	1	αδικια κατεχοντων => que con injusticia restringen	no		"{""match"": {""greek"": [""ἀδικίᾳ"", ""κατεχόντων,""]}, ""action"": {""nbla"": [""que"", ""con"", ""injusticia"", ""restringen""], ""type"": ""expanded"", ""consume"": 4}}"
	romanos-1-19	romanos 1:19	13-14	αὐτοῖς ἐφανέρωσεν.	04-06	se conoce acerca	phrase-anchor	validation-failure	contiguous unused NBLA span + adjacent Greek window	0.95	1	αυτοις εφανερωσεν => se conoce acerca	no		"{""match"": {""greek"": [""αὐτοῖς"", ""ἐφανέρωσεν.""]}, ""action"": {""nbla"": [""se"", ""conoce"", ""acerca""], ""type"": ""expanded"", ""consume"": 3}}"
	romanos-1-19	romanos 1:19	12-14	γὰρ⸃ αὐτοῖς ἐφανέρωσεν.	04-06	se conoce acerca	phrase-anchor	validation-failure	contiguous unused NBLA span + adjacent Greek window; alternate candidate	0.95	1	γαρ αυτοις εφανερωσεν => se conoce acerca	no		"{""match"": {""greek"": [""γὰρ⸃"", ""αὐτοῖς"", ""ἐφανέρωσεν.""]}, ""action"": {""nbla"": [""se"", ""conoce"", ""acerca""], ""type"": ""expanded"", ""consume"": 3}}"
	romanos-1-20	romanos 1:20	21-23	εἶναι αὐτοὺς ἀναπολογήτους,	26-34	lo creado, de manera que ellos no tienen excusa.	phrase-anchor	validation-failure	contiguous unused NBLA span + adjacent Greek window	0.82	1	ειναι αυτους αναπολογητους => lo creado de manera que ellos no tienen excusa	no		"{""match"": {""greek"": [""εἶναι"", ""αὐτοὺς"", ""ἀναπολογήτους,""]}, ""action"": {""nbla"": [""lo"", ""creado,"", ""de"", ""manera"", ""que"", ""ellos"", ""no"", ""tienen"", ""excusa.""], ""type"": ""expanded"", ""consume"": 9}}"
	romanos-1-21	romanos 1:21	20-21	ἀσύνετος αὐτῶν	06-08	no lo honraron	phrase-anchor	validation-failure	contiguous unused NBLA span + adjacent Greek window	0.95	1	ασυνετος αυτων => no lo honraron	no		"{""match"": {""greek"": [""ἀσύνετος"", ""αὐτῶν""]}, ""action"": {""nbla"": [""no"", ""lo"", ""honraron""], ""type"": ""expanded"", ""consume"": 3}}"
	romanos-1-21	romanos 1:21	21-22	αὐτῶν καρδία·	06-08	no lo honraron	phrase-anchor	validation-failure	contiguous unused NBLA span + adjacent Greek window; alternate candidate	0.95	1	αυτων καρδια => no lo honraron	no		"{""match"": {""greek"": [""αὐτῶν"", ""καρδία·""]}, ""action"": {""nbla"": [""no"", ""lo"", ""honraron""], ""type"": ""expanded"", ""consume"": 3}}"
	romanos-1-21	romanos 1:21	20-21	ἀσύνετος αὐτῶν	14-15	dieron gracias,	phrase-anchor	validation-failure	contiguous unused NBLA span + adjacent Greek window	0.95	1	ασυνετος αυτων => dieron gracias	no		"{""match"": {""greek"": [""ἀσύνετος"", ""αὐτῶν""]}, ""action"": {""nbla"": [""dieron"", ""gracias,""], ""type"": ""expanded"", ""consume"": 2}}"
	romanos-1-21	romanos 1:21	21-22	αὐτῶν καρδία·	14-15	dieron gracias,	phrase-anchor	validation-failure	contiguous unused NBLA span + adjacent Greek window; alternate candidate	0.95	1	αυτων καρδια => dieron gracias	no		"{""match"": {""greek"": [""αὐτῶν"", ""καρδία·""]}, ""action"": {""nbla"": [""dieron"", ""gracias,""], ""type"": ""expanded"", ""consume"": 2}}"
	romanos-1-22	romanos 1:22	02-03	εἶναι σοφοὶ	06	necios,	merged-forward	validation-failure	contiguous unused NBLA span + adjacent Greek window	0.60	1	ειναι σοφοι => necios	no		"{""match"": {""greek"": [""εἶναι"", ""σοφοὶ""]}, ""action"": {""nbla"": [""necios,""], ""type"": ""merged-forward"", ""consume"": 1}}"
	romanos-1-22	romanos 1:22	03-04	σοφοὶ ἐμωράνθησαν,	06	necios,	merged-forward	validation-failure	contiguous unused NBLA span + adjacent Greek window; alternate candidate	0.60	1	σοφοι εμωρανθησαν => necios	no		"{""match"": {""greek"": [""σοφοὶ"", ""ἐμωράνθησαν,""]}, ""action"": {""nbla"": [""necios,""], ""type"": ""merged-forward"", ""consume"": 1}}"
	romanos-1-23	romanos 1:23	11-12	φθαρτοῦ ἀνθρώπου	06-12	Dios incorruptible por una imagen en forma	phrase-anchor	validation-failure	contiguous unused NBLA span + adjacent Greek window	0.95	1	φθαρτου ανθρωπου => dios incorruptible por una imagen en forma	no		"{""match"": {""greek"": [""φθαρτοῦ"", ""ἀνθρώπου""]}, ""action"": {""nbla"": [""Dios"", ""incorruptible"", ""por"", ""una"", ""imagen"", ""en"", ""forma""], ""type"": ""expanded"", ""consume"": 7}}"
	romanos-1-23	romanos 1:23	13-14	καὶ πετεινῶν	06-12	Dios incorruptible por una imagen en forma	phrase-anchor	validation-failure	contiguous unused NBLA span + adjacent Greek window; alternate candidate	0.95	1	και πετεινων => dios incorruptible por una imagen en forma	no		"{""match"": {""greek"": [""καὶ"", ""πετεινῶν""]}, ""action"": {""nbla"": [""Dios"", ""incorruptible"", ""por"", ""una"", ""imagen"", ""en"", ""forma""], ""type"": ""expanded"", ""consume"": 7}}"
	romanos-1-25	romanos 1:25	23-24	τοὺς αἰῶνας·	03	cambiaron	merged-forward	validation-failure	contiguous unused NBLA span + adjacent Greek window	0.95	1	τους αιωνας => cambiaron	no		"{""match"": {""greek"": [""τοὺς"", ""αἰῶνας·""]}, ""action"": {""nbla"": [""cambiaron""], ""type"": ""merged-forward"", ""consume"": 1}}"
	romanos-1-25	romanos 1:25	22-24	εἰς τοὺς αἰῶνας·	03	cambiaron	merged-forward	validation-failure	contiguous unused NBLA span + adjacent Greek window; alternate candidate	0.95	1	εις τους αιωνας => cambiaron	no		"{""match"": {""greek"": [""εἰς"", ""τοὺς"", ""αἰῶνας·""]}, ""action"": {""nbla"": [""cambiaron""], ""type"": ""merged-forward"", ""consume"": 1}}"
	romanos-1-26	romanos 1:26	21-22	παρὰ φύσιν,	16-17	natural por	phrase-anchor	validation-failure	contiguous unused NBLA span + adjacent Greek window	0.95	1	παρα φυσιν => natural por	no		"{""match"": {""greek"": [""παρὰ"", ""φύσιν,""]}, ""action"": {""nbla"": [""natural"", ""por""], ""type"": ""expanded"", ""consume"": 2}}"
	romanos-1-26	romanos 1:26	20-22	τὴν παρὰ φύσιν,	16-17	natural por	phrase-anchor	validation-failure	contiguous unused NBLA span + adjacent Greek window; alternate candidate	0.95	1	την παρα φυσιν => natural por	no		"{""match"": {""greek"": [""τὴν"", ""παρὰ"", ""φύσιν,""]}, ""action"": {""nbla"": [""natural"", ""por""], ""type"": ""expanded"", ""consume"": 2}}"
	romanos-1-27	romanos 1:27	27-28	ἀντιμισθίαν ἣν	11-12	natural de	phrase-anchor	validation-failure	contiguous unused NBLA span + adjacent Greek window	0.95	1	αντιμισθιαν ην => natural de	no		"{""match"": {""greek"": [""ἀντιμισθίαν"", ""ἣν""]}, ""action"": {""nbla"": [""natural"", ""de""], ""type"": ""expanded"", ""consume"": 2}}"
	romanos-1-27	romanos 1:27	28-29	ἣν ἔδει	11-12	natural de	phrase-anchor	validation-failure	contiguous unused NBLA span + adjacent Greek window; alternate candidate	0.95	1	ην εδει => natural de	no		"{""match"": {""greek"": [""ἣν"", ""ἔδει""]}, ""action"": {""nbla"": [""natural"", ""de""], ""type"": ""expanded"", ""consume"": 2}}"
	romanos-1-28	romanos 1:28	01-02	Καὶ καθὼς	03-04	como ellos	phrase-anchor	validation-failure	contiguous unused NBLA span + adjacent Greek window	0.60	1	και καθως => como ellos	no		"{""match"": {""greek"": [""Καὶ"", ""καθὼς""]}, ""action"": {""nbla"": [""como"", ""ellos""], ""type"": ""expanded"", ""consume"": 2}}"
	romanos-1-28	romanos 1:28	02-03	καθὼς οὐκ	03-04	como ellos	phrase-anchor	validation-failure	contiguous unused NBLA span + adjacent Greek window; alternate candidate	0.60	1	καθως ουκ => como ellos	no		"{""match"": {""greek"": [""καθὼς"", ""οὐκ""]}, ""action"": {""nbla"": [""como"", ""ellos""], ""type"": ""expanded"", ""consume"": 2}}"
	romanos-1-28	romanos 1:28	16-17	νοῦν, ποιεῖν	23-24	cosas que	phrase-anchor	validation-failure	contiguous unused NBLA span + adjacent Greek window	0.60	1	νουν ποιειν => cosas que	no		"{""match"": {""greek"": [""νοῦν,"", ""ποιεῖν""]}, ""action"": {""nbla"": [""cosas"", ""que""], ""type"": ""expanded"", ""consume"": 2}}"
	romanos-1-28	romanos 1:28	18-19	τὰ μὴ	23-24	cosas que	phrase-anchor	validation-failure	contiguous unused NBLA span + adjacent Greek window; alternate candidate	0.60	1	τα μη => cosas que	no		"{""match"": {""greek"": [""τὰ"", ""μὴ""]}, ""action"": {""nbla"": [""cosas"", ""que""], ""type"": ""expanded"", ""consume"": 2}}"
	romanos-1-29	romanos 1:29	11-12	δόλου κακοηθείας,	14-19	pleitos, engaños, y malignidad. Son chismosos,	phrase-anchor	validation-failure	contiguous unused NBLA span + adjacent Greek window	0.82	1	δολου κακοηθειας => pleitos enganos y malignidad son chismosos	no		"{""match"": {""greek"": [""δόλου"", ""κακοηθείας,""]}, ""action"": {""nbla"": [""pleitos,"", ""engaños,"", ""y"", ""malignidad."", ""Son"", ""chismosos,""], ""type"": ""expanded"", ""consume"": 6}}"
	romanos-1-29	romanos 1:29	12-13	κακοηθείας, ψιθυριστάς,	14-19	pleitos, engaños, y malignidad. Son chismosos,	phrase-anchor	validation-failure	contiguous unused NBLA span + adjacent Greek window; alternate candidate	0.82	1	κακοηθειας ψιθυριστας => pleitos enganos y malignidad son chismosos	no		"{""match"": {""greek"": [""κακοηθείας,"", ""ψιθυριστάς,""]}, ""action"": {""nbla"": [""pleitos,"", ""engaños,"", ""y"", ""malignidad."", ""Son"", ""chismosos,""], ""type"": ""expanded"", ""consume"": 6}}"
