BOOK	CH	VS	CONNECTOR_ID	CONNECTOR_GREEK	CONNECTOR_KIND	CONNECTOR_RELATION	SOURCE_CLAUSE	TARGET_CLAUSE	OWNERSHIP_TYPE	OWNERSHIP_CONFIDENCE	OWNERSHIP_STATUS	SOURCE_SPAN	TARGET_SPAN	NOTES
1corintios	1	12	cn4	δὲ	coordinating	coordination	C3		coordinate	low	pending	==εἰμι== παύλου ἐγὼ δὲ ἀπολλῶ ἐγὼ δὲ κηφᾶ ἐγὼ δὲ χριστοῦ		function follows connector inventory; connector after last finite clause or target outside verse; missing target clause
1corintios	1	12	cn5	δὲ	coordinating	coordination	C3		coordinate	low	pending	==εἰμι== παύλου ἐγὼ δὲ ἀπολλῶ ἐγὼ δὲ κηφᾶ ἐγὼ δὲ χριστοῦ		function follows connector inventory; connector after last finite clause or target outside verse; missing target clause
1corintios	1	13	cn1	μὴ	negation	negation			internal-negation	none	pending			function follows connector inventory; negation detected; no clause connection suggested; missing target clause
1corintios	1	13	cn2	ἢ	coordinating	alternative/comparison	C2	C3	coordinate	medium	suggested	==ἐσταυρώθη== ὑπὲρ ὑμῶν ἢ εἰς τὸ ὄνομα παύλου	==ἐβαπτίσθητε==	context-sensitive function; keep as suggested; coordinating connector between finite clauses; source and target clauses available
1corintios	1	14	cn1	ὅτι	subordinating	content/cause	C1	C2	subordinate	medium	suggested	==εὐχαριστῶ== ὅτι οὐδένα ὑμῶν	==ἐβάπτισα== εἰ μὴ κρίσπον καὶ γάϊον	context-sensitive function; keep as suggested; subordinating connector before/near target finite clause; source and target clauses available
1corintios	1	14	cn2	εἰ	subordinating	condition			subordinate	low	pending			function follows connector inventory; no target finite clause found in verse; missing target clause
1corintios	1	14	cn3	μὴ	negation	negation			internal-negation	none	pending			function follows connector inventory; negation detected; no clause connection suggested; missing target clause
1corintios	1	14	cn4	καὶ	coordinating	coordination	C2		coordinate	low	pending	==ἐβάπτισα== εἰ μὴ κρίσπον καὶ γάϊον		function follows connector inventory; connector after last finite clause or target outside verse; missing target clause
1corintios	1	15	cn1	ἵνα	subordinating	purpose/result		C1	subordinate	low	cross-verse-or-missing-source		ἵνα μή τις ==εἴπῃ== ὅτι εἰς τὸ ἐμὸν ὄνομα	context-sensitive function; keep as suggested; target finite clause found; source not available in verse; target clause found but source clause unresolved
1corintios	1	15	cn2	μή	negation	negation			internal-negation	none	pending			function follows connector inventory; negation detected; no clause connection suggested; missing target clause
1corintios	1	15	cn3	ὅτι	subordinating	content/cause	C1	C2	subordinate	medium	suggested	ἵνα μή τις ==εἴπῃ== ὅτι εἰς τὸ ἐμὸν ὄνομα	==ἐβαπτίσθητε==	context-sensitive function; keep as suggested; subordinating connector before/near target finite clause; source and target clauses available
1corintios	1	16	cn1	δὲ	coordinating	coordination	C1	C2	coordinate	medium	suggested	==ἐβάπτισα== δὲ καὶ τὸν στεφανᾶ οἶκον λοιπὸν	οὐκ ==οἶδα== εἴ τινα ἄλλον	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	1	16	cn2	καὶ	coordinating	coordination	C1	C2	coordinate	medium	suggested	==ἐβάπτισα== δὲ καὶ τὸν στεφανᾶ οἶκον λοιπὸν	οὐκ ==οἶδα== εἴ τινα ἄλλον	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	1	16	cn3	οὐκ	negation	negation			internal-negation	none	pending			function follows connector inventory; negation detected; no clause connection suggested; missing target clause
1corintios	1	16	cn4	εἴ	subordinating	condition	C2	C3	subordinate	medium	suggested	οὐκ ==οἶδα== εἴ τινα ἄλλον	==ἐβάπτισα==	function follows connector inventory; subordinating connector before/near target finite clause; source and target clauses available
1corintios	1	17	cn1	οὐ	negation	negation			internal-negation	none	pending			function follows connector inventory; negation detected; no clause connection suggested; missing target clause
1corintios	1	17	cn2	γὰρ	coordinating	cause/ground		C1	subordinate	low	cross-verse-or-missing-source		οὐ γὰρ ==ἀπέστειλέν== με χριστὸς βαπτίζειν ἀλλὰ εὐαγγελίζεσθαι οὐκ ἐν σοφίᾳ λόγου	function follows connector inventory; connector before first finite clause or source outside verse; target clause found but source clause unresolved
1corintios	1	17	cn3	ἀλλὰ	coordinating	contrast	C1	C2	coordinate	medium	suggested	οὐ γὰρ ==ἀπέστειλέν== με χριστὸς βαπτίζειν ἀλλὰ εὐαγγελίζεσθαι οὐκ ἐν σοφίᾳ λόγου	ἵνα μὴ ==κενωθῇ== ὁ σταυρὸς τοῦ χριστοῦ	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	1	17	cn4	οὐκ	negation	negation			internal-negation	none	pending			function follows connector inventory; negation detected; no clause connection suggested; missing target clause
1corintios	1	17	cn5	ἵνα	subordinating	purpose/result	C1	C2	subordinate	medium	suggested	οὐ γὰρ ==ἀπέστειλέν== με χριστὸς βαπτίζειν ἀλλὰ εὐαγγελίζεσθαι οὐκ ἐν σοφίᾳ λόγου	ἵνα μὴ ==κενωθῇ== ὁ σταυρὸς τοῦ χριστοῦ	context-sensitive function; keep as suggested; subordinating connector before/near target finite clause; source and target clauses available
1corintios	1	17	cn6	μὴ	negation	negation			internal-negation	none	pending			function follows connector inventory; negation detected; no clause connection suggested; missing target clause
1corintios	1	18	cn1	γὰρ	coordinating	cause/ground		C1	subordinate	low	cross-verse-or-missing-source		ὁ λόγος γὰρ ὁ τοῦ σταυροῦ τοῖς μὲν ἀπολλυμένοις μωρία ==ἐστίν== τοῖς δὲ σῳζομένοις ἡμῖν δύναμις θεοῦ	function follows connector inventory; connector before first finite clause or source outside verse; target clause found but source clause unresolved
1corintios	1	18	cn2	δὲ	coordinating	coordination	C1	C2	coordinate	medium	suggested	ὁ λόγος γὰρ ὁ τοῦ σταυροῦ τοῖς μὲν ἀπολλυμένοις μωρία ==ἐστίν== τοῖς δὲ σῳζομένοις ἡμῖν δύναμις θεοῦ	==ἐστιν==	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	1	19	cn1	γάρ	coordinating	cause/ground	C1	C2	subordinate	medium	suggested	==γέγραπται== γάρ	==ἀπολῶ== τὴν σοφίαν τῶν σοφῶν καὶ τὴν σύνεσιν τῶν συνετῶν	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	1	19	cn2	καὶ	coordinating	coordination	C2	C3	coordinate	medium	suggested	==ἀπολῶ== τὴν σοφίαν τῶν σοφῶν καὶ τὴν σύνεσιν τῶν συνετῶν	==ἀθετήσω==	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	1	21	cn1	ἐπειδὴ	subordinating	cause/ground		C1	subordinate	low	cross-verse-or-missing-source		ἐπειδὴ γὰρ ἐν τῇ σοφίᾳ τοῦ θεοῦ οὐκ ==ἔγνω== ὁ κόσμος διὰ τῆς σοφίας τὸν θεόν	function follows connector inventory; target finite clause found; source not available in verse; target clause found but source clause unresolved
1corintios	1	21	cn2	γὰρ	coordinating	cause/ground		C1	subordinate	low	cross-verse-or-missing-source		ἐπειδὴ γὰρ ἐν τῇ σοφίᾳ τοῦ θεοῦ οὐκ ==ἔγνω== ὁ κόσμος διὰ τῆς σοφίας τὸν θεόν	function follows connector inventory; connector before first finite clause or source outside verse; target clause found but source clause unresolved
1corintios	1	21	cn3	οὐκ	negation	negation			internal-negation	none	pending			function follows connector inventory; negation detected; no clause connection suggested; missing target clause
1corintios	1	22	cn1	ἐπειδὴ	subordinating	cause/ground		C1	subordinate	low	cross-verse-or-missing-source		ἐπειδὴ καὶ ἰουδαῖοι σημεῖα ==αἰτοῦσιν== καὶ ἕλληνες σοφίαν	function follows connector inventory; target finite clause found; source not available in verse; target clause found but source clause unresolved
1corintios	1	22	cn2	καὶ	coordinating	coordination		C1	coordinate	low	cross-verse-or-missing-source		ἐπειδὴ καὶ ἰουδαῖοι σημεῖα ==αἰτοῦσιν== καὶ ἕλληνες σοφίαν	function follows connector inventory; connector before first finite clause or source outside verse; target clause found but source clause unresolved
1corintios	1	22	cn3	καὶ	coordinating	coordination	C1	C2	coordinate	medium	suggested	ἐπειδὴ καὶ ἰουδαῖοι σημεῖα ==αἰτοῦσιν== καὶ ἕλληνες σοφίαν	==ζητοῦσιν==	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	1	23	cn1	δὲ	coordinating	coordination		C1	coordinate	low	cross-verse-or-missing-source		ἡμεῖς δὲ ==κηρύσσομεν== χριστὸν ἐσταυρωμένον ἰουδαίοις μὲν σκάνδαλον ἔθνεσιν δὲ μωρίαν	function follows connector inventory; connector before first finite clause or source outside verse; target clause found but source clause unresolved
1corintios	1	23	cn2	δὲ	coordinating	coordination	C1		coordinate	low	pending	ἡμεῖς δὲ ==κηρύσσομεν== χριστὸν ἐσταυρωμένον ἰουδαίοις μὲν σκάνδαλον ἔθνεσιν δὲ μωρίαν		function follows connector inventory; connector after last finite clause or target outside verse; missing target clause
1corintios	1	24	cn1	δὲ	coordinating	coordination			coordinate	low	pending			function follows connector inventory; no finite clause anchor found in verse; missing target clause
1corintios	1	24	cn2	τε	coordinating	coordination			coordinate	low	pending			function follows connector inventory; no finite clause anchor found in verse; missing target clause
1corintios	1	24	cn3	καὶ	coordinating	coordination			coordinate	low	pending			function follows connector inventory; no finite clause anchor found in verse; missing target clause
1corintios	1	24	cn4	καὶ	coordinating	coordination			coordinate	low	pending			function follows connector inventory; no finite clause anchor found in verse; missing target clause
1corintios	1	25	cn1	ὅτι	subordinating	content/cause		C1	subordinate	low	cross-verse-or-missing-source		ὅτι τὸ μωρὸν τοῦ θεοῦ σοφώτερον τῶν ἀνθρώπων ==ἐστίν== καὶ τὸ ἀσθενὲς τοῦ θεοῦ ἰσχυρότερον τῶν ἀνθρώπων	context-sensitive function; keep as suggested; target finite clause found; source not available in verse; target clause found but source clause unresolved
1corintios	1	25	cn2	καὶ	coordinating	coordination	C1		coordinate	low	pending	ὅτι τὸ μωρὸν τοῦ θεοῦ σοφώτερον τῶν ἀνθρώπων ==ἐστίν== καὶ τὸ ἀσθενὲς τοῦ θεοῦ ἰσχυρότερον τῶν ἀνθρώπων		function follows connector inventory; connector after last finite clause or target outside verse; missing target clause
1corintios	1	26	cn1	γὰρ	coordinating	cause/ground	C1		subordinate	low	pending	==βλέπετε== γὰρ τὴν κλῆσιν ὑμῶν ἀδελφοί ὅτι οὐ πολλοὶ σοφοὶ κατὰ σάρκα οὐ πολλοὶ δυνατοί οὐ πολλοὶ εὐγενεῖς		function follows connector inventory; connector after last finite clause or target outside verse; missing target clause
1corintios	1	26	cn2	ὅτι	subordinating	content/cause			subordinate	low	pending			context-sensitive function; keep as suggested; no target finite clause found in verse; missing target clause
1corintios	1	26	cn3	οὐ	negation	negation			internal-negation	none	pending			function follows connector inventory; negation detected; no clause connection suggested; missing target clause
1corintios	1	26	cn4	οὐ	negation	negation			internal-negation	none	pending			function follows connector inventory; negation detected; no clause connection suggested; missing target clause
1corintios	1	26	cn5	οὐ	negation	negation			internal-negation	none	pending			function follows connector inventory; negation detected; no clause connection suggested; missing target clause
1corintios	1	27	cn1	ἀλλὰ	coordinating	contrast		C1	coordinate	low	cross-verse-or-missing-source		ἀλλὰ τὰ μωρὰ τοῦ κόσμου ==ἐξελέξατο== ὁ θεός	function follows connector inventory; connector before first finite clause or source outside verse; target clause found but source clause unresolved
1corintios	1	27	cn2	ἵνα	subordinating	purpose/result	C1	C2	subordinate	medium	suggested	ἀλλὰ τὰ μωρὰ τοῦ κόσμου ==ἐξελέξατο== ὁ θεός	ἵνα ==καταισχύνῃ== τοὺς σοφούς καὶ τὰ ἀσθενῆ τοῦ κόσμου	context-sensitive function; keep as suggested; subordinating connector before/near target finite clause; source and target clauses available
1corintios	1	27	cn3	καὶ	coordinating	coordination	C2	C3	coordinate	medium	suggested	ἵνα ==καταισχύνῃ== τοὺς σοφούς καὶ τὰ ἀσθενῆ τοῦ κόσμου	==ἐξελέξατο== ὁ θεός	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	1	27	cn4	ἵνα	subordinating	purpose/result	C3	C4	subordinate	medium	suggested	==ἐξελέξατο== ὁ θεός	ἵνα ==καταισχύνῃ== τὰ ἰσχυρά	context-sensitive function; keep as suggested; subordinating connector before/near target finite clause; source and target clauses available
1corintios	1	28	cn1	καὶ	coordinating	coordination		C1	coordinate	low	cross-verse-or-missing-source		καὶ τὰ ἀγενῆ τοῦ κόσμου καὶ τὰ ἐξουθενημένα ==ἐξελέξατο== ὁ θεός τὰ μὴ ὄντα ἵνα τὰ ὄντα	function follows connector inventory; connector before first finite clause or source outside verse; target clause found but source clause unresolved
1corintios	1	28	cn2	καὶ	coordinating	coordination		C1	coordinate	low	cross-verse-or-missing-source		καὶ τὰ ἀγενῆ τοῦ κόσμου καὶ τὰ ἐξουθενημένα ==ἐξελέξατο== ὁ θεός τὰ μὴ ὄντα ἵνα τὰ ὄντα	function follows connector inventory; connector before first finite clause or source outside verse; target clause found but source clause unresolved
1corintios	1	28	cn3	μὴ	negation	negation			internal-negation	none	pending			function follows connector inventory; negation detected; no clause connection suggested; missing target clause
1corintios	1	28	cn4	ἵνα	subordinating	purpose/result	C1	C2	subordinate	medium	suggested	καὶ τὰ ἀγενῆ τοῦ κόσμου καὶ τὰ ἐξουθενημένα ==ἐξελέξατο== ὁ θεός τὰ μὴ ὄντα ἵνα τὰ ὄντα	==καταργήσῃ==	context-sensitive function; keep as suggested; subordinating connector before/near target finite clause; source and target clauses available
1corintios	1	29	cn1	ὅπως	subordinating	purpose		C1	subordinate	low	cross-verse-or-missing-source		ὅπως μὴ ==καυχήσηται== πᾶσα σὰρξ ἐνώπιον τοῦ θεοῦ	function follows connector inventory; target finite clause found; source not available in verse; target clause found but source clause unresolved
1corintios	1	29	cn2	μὴ	negation	negation			internal-negation	none	pending			function follows connector inventory; negation detected; no clause connection suggested; missing target clause
1corintios	1	30	cn1	δὲ	coordinating	coordination		C1	coordinate	low	cross-verse-or-missing-source		ἐξ αὐτοῦ δὲ ὑμεῖς ==ἐστε== ἐν χριστῷ ἰησοῦ ὃς	function follows connector inventory; connector before first finite clause or source outside verse; target clause found but source clause unresolved
1corintios	1	30	cn2	τε	coordinating	coordination	C2		coordinate	low	pending	==ἐγενήθη== σοφία ἡμῖν ἀπὸ θεοῦ δικαιοσύνη τε καὶ ἁγιασμὸς καὶ ἀπολύτρωσις		function follows connector inventory; connector after last finite clause or target outside verse; missing target clause
1corintios	1	30	cn3	καὶ	coordinating	coordination	C2		coordinate	low	pending	==ἐγενήθη== σοφία ἡμῖν ἀπὸ θεοῦ δικαιοσύνη τε καὶ ἁγιασμὸς καὶ ἀπολύτρωσις		function follows connector inventory; connector after last finite clause or target outside verse; missing target clause
1corintios	1	30	cn4	καὶ	coordinating	coordination	C2		coordinate	low	pending	==ἐγενήθη== σοφία ἡμῖν ἀπὸ θεοῦ δικαιοσύνη τε καὶ ἁγιασμὸς καὶ ἀπολύτρωσις		function follows connector inventory; connector after last finite clause or target outside verse; missing target clause
1corintios	1	31	cn1	ἵνα	subordinating	purpose/result		C1	subordinate	low	cross-verse-or-missing-source		ἵνα καθὼς ==γέγραπται== ὁ καυχώμενος ἐν κυρίῳ	context-sensitive function; keep as suggested; target finite clause found; source not available in verse; target clause found but source clause unresolved
1corintios	1	31	cn2	καθὼς	subordinating	comparison/manner		C1	subordinate	low	cross-verse-or-missing-source		ἵνα καθὼς ==γέγραπται== ὁ καυχώμενος ἐν κυρίῳ	context-sensitive function; keep as suggested; target finite clause found; source not available in verse; target clause found but source clause unresolved
1corintios	2	1	cn1	οὐ	negation	negation			internal-negation	none	pending			function follows connector inventory; negation detected; no clause connection suggested; missing target clause
1corintios	2	1	cn2	ἢ	coordinating	alternative/comparison	C1		coordinate	low	pending	κἀγὼ ἐλθὼν πρὸς ὑμᾶς ἀδελφοί ==ἦλθον== οὐ καθʼ ὑπεροχὴν λόγου ἢ σοφίας καταγγέλλων ὑμῖν τὸ μαρτύριον τοῦ θεοῦ		context-sensitive function; keep as suggested; connector after last finite clause or target outside verse; missing target clause
1corintios	2	2	cn1	οὐ	negation	negation			internal-negation	none	pending			function follows connector inventory; negation detected; no clause connection suggested; missing target clause
1corintios	2	2	cn2	γὰρ	coordinating	cause/ground		C1	subordinate	low	cross-verse-or-missing-source		οὐ γὰρ ==ἔκρινά== τι εἰδέναι ἐν ὑμῖν εἰ μὴ ἰησοῦν χριστὸν καὶ τοῦτον ἐσταυρωμένον	function follows connector inventory; connector before first finite clause or source outside verse; target clause found but source clause unresolved
1corintios	2	2	cn3	εἰ	subordinating	condition			subordinate	low	pending			function follows connector inventory; no target finite clause found in verse; missing target clause
1corintios	2	2	cn4	μὴ	negation	negation			internal-negation	none	pending			function follows connector inventory; negation detected; no clause connection suggested; missing target clause
1corintios	2	2	cn5	καὶ	coordinating	coordination	C1		coordinate	low	pending	οὐ γὰρ ==ἔκρινά== τι εἰδέναι ἐν ὑμῖν εἰ μὴ ἰησοῦν χριστὸν καὶ τοῦτον ἐσταυρωμένον		function follows connector inventory; connector after last finite clause or target outside verse; missing target clause
1corintios	2	3	cn1	καὶ	coordinating	coordination		C1	coordinate	low	cross-verse-or-missing-source		κἀγὼ ἐν ἀσθενείᾳ καὶ ἐν φόβῳ καὶ ἐν τρόμῳ πολλῷ ==ἐγενόμην== πρὸς ὑμᾶς	function follows connector inventory; connector before first finite clause or source outside verse; target clause found but source clause unresolved
1corintios	2	3	cn2	καὶ	coordinating	coordination		C1	coordinate	low	cross-verse-or-missing-source		κἀγὼ ἐν ἀσθενείᾳ καὶ ἐν φόβῳ καὶ ἐν τρόμῳ πολλῷ ==ἐγενόμην== πρὸς ὑμᾶς	function follows connector inventory; connector before first finite clause or source outside verse; target clause found but source clause unresolved
1corintios	2	4	cn1	καὶ	coordinating	coordination			coordinate	low	pending			function follows connector inventory; no finite clause anchor found in verse; missing target clause
1corintios	2	4	cn2	καὶ	coordinating	coordination			coordinate	low	pending			function follows connector inventory; no finite clause anchor found in verse; missing target clause
1corintios	2	4	cn3	οὐκ	negation	negation			internal-negation	none	pending			function follows connector inventory; negation detected; no clause connection suggested; missing target clause
1corintios	2	4	cn4	ἀλλʼ	coordinating	contrast			coordinate	low	pending			function follows connector inventory; no finite clause anchor found in verse; missing target clause
1corintios	2	4	cn5	καὶ	coordinating	coordination			coordinate	low	pending			function follows connector inventory; no finite clause anchor found in verse; missing target clause
1corintios	2	5	cn1	ἵνα	subordinating	purpose/result		C1	subordinate	low	cross-verse-or-missing-source		ἵνα ἡ πίστις ὑμῶν μὴ ==ᾖ== ἐν σοφίᾳ ἀνθρώπων ἀλλʼ ἐν δυνάμει θεοῦ	context-sensitive function; keep as suggested; target finite clause found; source not available in verse; target clause found but source clause unresolved
1corintios	2	5	cn2	μὴ	negation	negation			internal-negation	none	pending			function follows connector inventory; negation detected; no clause connection suggested; missing target clause
1corintios	2	5	cn3	ἀλλʼ	coordinating	contrast	C1		coordinate	low	pending	ἵνα ἡ πίστις ὑμῶν μὴ ==ᾖ== ἐν σοφίᾳ ἀνθρώπων ἀλλʼ ἐν δυνάμει θεοῦ		function follows connector inventory; connector after last finite clause or target outside verse; missing target clause
1corintios	2	6	cn1	δὲ	coordinating	coordination		C1	coordinate	low	cross-verse-or-missing-source		σοφίαν δὲ ==λαλοῦμεν== ἐν τοῖς τελείοις σοφίαν δὲ οὐ τοῦ αἰῶνος τούτου οὐδὲ τῶν ἀρχόντων τοῦ αἰῶνος τούτου τῶν καταργουμένων	function follows connector inventory; connector before first finite clause or source outside verse; target clause found but source clause unresolved
1corintios	2	6	cn2	δὲ	coordinating	coordination	C1		coordinate	low	pending	σοφίαν δὲ ==λαλοῦμεν== ἐν τοῖς τελείοις σοφίαν δὲ οὐ τοῦ αἰῶνος τούτου οὐδὲ τῶν ἀρχόντων τοῦ αἰῶνος τούτου τῶν καταργουμένων		function follows connector inventory; connector after last finite clause or target outside verse; missing target clause
1corintios	2	6	cn3	οὐ	negation	negation			internal-negation	none	pending			function follows connector inventory; negation detected; no clause connection suggested; missing target clause
1corintios	2	6	cn4	οὐδὲ	coordinating	negative coordination	C1		coordinate	low	pending	σοφίαν δὲ ==λαλοῦμεν== ἐν τοῖς τελείοις σοφίαν δὲ οὐ τοῦ αἰῶνος τούτου οὐδὲ τῶν ἀρχόντων τοῦ αἰῶνος τούτου τῶν καταργουμένων		function follows connector inventory; connector after last finite clause or target outside verse; missing target clause
1corintios	2	7	cn1	ἀλλὰ	coordinating	contrast		C1	coordinate	low	cross-verse-or-missing-source		ἀλλὰ ==λαλοῦμεν== θεοῦ σοφίαν ἐν μυστηρίῳ τὴν ἀποκεκρυμμένην ἣν	function follows connector inventory; connector before first finite clause or source outside verse; target clause found but source clause unresolved
1corintios	2	8	cn1	εἰ	subordinating	condition	C1	C2	subordinate	medium	suggested	ἣν οὐδεὶς τῶν ἀρχόντων τοῦ αἰῶνος τούτου ==ἔγνωκεν== εἰ γὰρ	==ἔγνωσαν== οὐκ ἂν τὸν κύριον τῆς δόξης	function follows connector inventory; subordinating connector before/near target finite clause; source and target clauses available
1corintios	2	8	cn2	γὰρ	coordinating	cause/ground	C1	C2	subordinate	medium	suggested	ἣν οὐδεὶς τῶν ἀρχόντων τοῦ αἰῶνος τούτου ==ἔγνωκεν== εἰ γὰρ	==ἔγνωσαν== οὐκ ἂν τὸν κύριον τῆς δόξης	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	2	8	cn3	οὐκ	negation	negation			internal-negation	none	pending			function follows connector inventory; negation detected; no clause connection suggested; missing target clause
1corintios	2	9	cn1	ἀλλὰ	coordinating	contrast		C1	coordinate	low	cross-verse-or-missing-source		ἀλλὰ καθὼς ==γέγραπται== ἃ ὀφθαλμὸς	function follows connector inventory; connector before first finite clause or source outside verse; target clause found but source clause unresolved
1corintios	2	9	cn2	καθὼς	subordinating	comparison/manner		C1	subordinate	low	cross-verse-or-missing-source		ἀλλὰ καθὼς ==γέγραπται== ἃ ὀφθαλμὸς	context-sensitive function; keep as suggested; target finite clause found; source not available in verse; target clause found but source clause unresolved
