center_stream_index	center_reference	window_size	movement_sequence	continuity_sequence	reason_sequence
11	1:11	5	"[""strong"", ""strong"", ""strong"", ""strong"", ""strong""]"	"[""shift"", ""shift"", ""shift"", ""shift"", ""shift""]"	"[[""number_change"", ""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""]]"
12	1:12	5	"[""strong"", ""strong"", ""strong"", ""strong"", ""strong""]"	"[""shift"", ""shift"", ""shift"", ""shift"", ""shift""]"	"[[""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""]]"
13	1:12	5	"[""strong"", ""strong"", ""strong"", ""strong"", ""candidate""]"	"[""shift"", ""shift"", ""shift"", ""shift"", ""shift""]"	"[[""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""person_change"", ""subject_shift""]]"
14	1:12	5	"[""strong"", ""strong"", ""strong"", ""candidate"", ""none""]"	"[""shift"", ""shift"", ""shift"", ""shift"", ""same""]"	"[[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""person_change"", ""subject_shift""], []]"
15	1:13	5	"[""strong"", ""strong"", ""candidate"", ""none"", ""strong""]"	"[""shift"", ""shift"", ""shift"", ""same"", ""shift""]"	"[[""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""person_change"", ""subject_shift""], [], [""number_change"", ""person_change"", ""subject_shift""]]"
17	1:13	5	"[""candidate"", ""none"", ""strong"", ""strong"", ""candidate""]"	"[""shift"", ""same"", ""shift"", ""shift"", ""same""]"	"[[""person_change"", ""subject_shift""], [], [""number_change"", ""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""]]"
18	1:14	5	"[""none"", ""strong"", ""strong"", ""candidate"", ""candidate""]"	"[""same"", ""shift"", ""shift"", ""same"", ""shift""]"	"[[], [""number_change"", ""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""], [""person_change"", ""subject_shift""]]"
19	1:14	5	"[""strong"", ""strong"", ""candidate"", ""candidate"", ""strong""]"	"[""shift"", ""shift"", ""same"", ""shift"", ""shift""]"	"[[""number_change"", ""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""], [""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""]]"
20	1:15	5	"[""strong"", ""candidate"", ""candidate"", ""strong"", ""strong""]"	"[""shift"", ""same"", ""shift"", ""shift"", ""shift""]"	"[[""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""], [""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]]"
21	1:15	5	"[""candidate"", ""candidate"", ""strong"", ""strong"", ""none""]"	"[""same"", ""shift"", ""shift"", ""shift"", ""same""]"	"[[""independence_transition"", ""subordination_transition""], [""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], []]"
22	1:16	5	"[""candidate"", ""strong"", ""strong"", ""none"", ""candidate""]"	"[""shift"", ""shift"", ""shift"", ""same"", ""same""]"	"[[""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [], [""independence_transition"", ""subordination_transition""]]"
24	1:16	5	"[""strong"", ""none"", ""candidate"", ""strong"", ""candidate""]"	"[""shift"", ""same"", ""same"", ""shift"", ""same""]"	"[[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""]]"
25	1:17	5	"[""none"", ""candidate"", ""strong"", ""candidate"", ""candidate""]"	"[""same"", ""same"", ""shift"", ""same"", ""same""]"	"[[], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""]]"
26	1:17	5	"[""candidate"", ""strong"", ""candidate"", ""candidate"", ""none""]"	"[""same"", ""shift"", ""same"", ""same"", ""same""]"	"[[""independence_transition"", ""subordination_transition""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], []]"
27	1:18	5	"[""strong"", ""candidate"", ""candidate"", ""none"", ""none""]"	"[""shift"", ""same"", ""same"", ""same"", ""same""]"	"[[""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [], []]"
30	1:19	5	"[""none"", ""none"", ""candidate"", ""none"", ""candidate""]"	"[""same"", ""same"", ""shift"", ""same"", ""shift""]"	"[[], [], [""person_change"", ""subject_shift""], [], [""person_change"", ""subject_shift""]]"
32	1:20	5	"[""candidate"", ""none"", ""candidate"", ""candidate"", ""candidate""]"	"[""shift"", ""same"", ""shift"", ""same"", ""same""]"	"[[""person_change"", ""subject_shift""], [], [""person_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""]]"
33	1:21	5	"[""none"", ""candidate"", ""candidate"", ""candidate"", ""strong""]"	"[""same"", ""shift"", ""same"", ""same"", ""shift""]"	"[[], [""person_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""]]"
34	1:21	5	"[""candidate"", ""candidate"", ""candidate"", ""strong"", ""candidate""]"	"[""shift"", ""same"", ""same"", ""shift"", ""same""]"	"[[""person_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""]]"
35	1:22	5	"[""candidate"", ""candidate"", ""strong"", ""candidate"", ""candidate""]"	"[""same"", ""same"", ""shift"", ""same"", ""shift""]"	"[[""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""person_change"", ""subject_shift""]]"
36	1:22	5	"[""candidate"", ""strong"", ""candidate"", ""candidate"", ""strong""]"	"[""same"", ""shift"", ""same"", ""shift"", ""shift""]"	"[[""independence_transition"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]]"
37	1:23	5	"[""strong"", ""candidate"", ""candidate"", ""strong"", ""strong""]"	"[""shift"", ""same"", ""shift"", ""shift"", ""shift""]"	"[[""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]]"
38	1:25	5	"[""candidate"", ""candidate"", ""strong"", ""strong"", ""strong""]"	"[""same"", ""shift"", ""shift"", ""shift"", ""shift""]"	"[[""independence_transition"", ""subordination_transition""], [""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""]]"
39	1:26	5	"[""candidate"", ""strong"", ""strong"", ""strong"", ""candidate""]"	"[""shift"", ""shift"", ""shift"", ""shift"", ""same""]"	"[[""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""]]"
40	1:27	5	"[""strong"", ""strong"", ""strong"", ""candidate"", ""candidate""]"	"[""shift"", ""shift"", ""shift"", ""same"", ""same""]"	"[[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""]]"
41	1:27	5	"[""strong"", ""strong"", ""candidate"", ""candidate"", ""candidate""]"	"[""shift"", ""shift"", ""same"", ""same"", ""same""]"	"[[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""]]"
42	1:27	5	"[""strong"", ""candidate"", ""candidate"", ""candidate"", ""candidate""]"	"[""shift"", ""same"", ""same"", ""same"", ""same""]"	"[[""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""]]"
43	1:27	5	"[""candidate"", ""candidate"", ""candidate"", ""candidate"", ""candidate""]"	"[""same"", ""same"", ""same"", ""same"", ""same""]"	"[[""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""]]"
44	1:28	5	"[""candidate"", ""candidate"", ""candidate"", ""candidate"", ""none""]"	"[""same"", ""same"", ""same"", ""same"", ""same""]"	"[[""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], []]"
45	1:28	5	"[""candidate"", ""candidate"", ""candidate"", ""none"", ""strong""]"	"[""same"", ""same"", ""same"", ""same"", ""shift""]"	"[[""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]]"
47	1:30	5	"[""candidate"", ""none"", ""strong"", ""strong"", ""candidate""]"	"[""same"", ""same"", ""shift"", ""shift"", ""same""]"	"[[""independence_transition"", ""subordination_transition""], [], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""]]"
48	1:30	5	"[""none"", ""strong"", ""strong"", ""candidate"", ""candidate""]"	"[""same"", ""shift"", ""shift"", ""same"", ""same""]"	"[[], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""]]"
49	1:31	5	"[""strong"", ""strong"", ""candidate"", ""candidate"", ""candidate""]"	"[""shift"", ""shift"", ""same"", ""same"", ""shift""]"	"[[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""person_change"", ""subject_shift""]]"
50	1:31	5	"[""strong"", ""candidate"", ""candidate"", ""candidate"", ""none""]"	"[""shift"", ""same"", ""same"", ""shift"", ""same""]"	"[[""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""person_change"", ""subject_shift""], []]"
51	2:1	5	"[""candidate"", ""candidate"", ""candidate"", ""none"", ""none""]"	"[""same"", ""same"", ""shift"", ""same"", ""same""]"	"[[""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""person_change"", ""subject_shift""], [], []]"
54	2:5	5	"[""none"", ""none"", ""strong"", ""strong"", ""none""]"	"[""same"", ""same"", ""shift"", ""shift"", ""same""]"	"[[], [], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], []]"
55	2:6	5	"[""none"", ""strong"", ""strong"", ""none"", ""strong""]"	"[""same"", ""shift"", ""shift"", ""same"", ""shift""]"	"[[], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [], [""number_change"", ""person_change"", ""subject_shift""]]"
57	2:7	5	"[""strong"", ""none"", ""strong"", ""none"", ""strong""]"	"[""shift"", ""same"", ""shift"", ""same"", ""shift""]"	"[[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [], [""number_change"", ""person_change"", ""subject_shift""], [], [""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""]]"
59	2:8	5	"[""strong"", ""none"", ""strong"", ""candidate"", ""strong""]"	"[""shift"", ""same"", ""shift"", ""same"", ""shift""]"	"[[""number_change"", ""person_change"", ""subject_shift""], [], [""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""]]"
60	2:8	5	"[""none"", ""strong"", ""candidate"", ""strong"", ""candidate""]"	"[""same"", ""shift"", ""same"", ""shift"", ""same""]"	"[[], [""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""]]"
61	2:9	5	"[""strong"", ""candidate"", ""strong"", ""candidate"", ""none""]"	"[""shift"", ""same"", ""shift"", ""same"", ""same""]"	"[[""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], []]"
62	2:9	5	"[""candidate"", ""strong"", ""candidate"", ""none"", ""none""]"	"[""same"", ""shift"", ""same"", ""same"", ""same""]"	"[[""independence_transition"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [], []]"
69	2:11	5	"[""none"", ""none"", ""candidate"", ""strong"", ""candidate""]"	"[""same"", ""same"", ""same"", ""shift"", ""same""]"	"[[], [], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""]]"
70	2:12	5	"[""none"", ""candidate"", ""strong"", ""candidate"", ""candidate""]"	"[""same"", ""same"", ""shift"", ""same"", ""same""]"	"[[], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""]]"
71	2:12	5	"[""candidate"", ""strong"", ""candidate"", ""candidate"", ""strong""]"	"[""same"", ""shift"", ""same"", ""same"", ""shift""]"	"[[""independence_transition"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""]]"
72	2:13	5	"[""strong"", ""candidate"", ""candidate"", ""strong"", ""none""]"	"[""shift"", ""same"", ""same"", ""shift"", ""same""]"	"[[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], []]"
73	2:14	5	"[""candidate"", ""candidate"", ""strong"", ""none"", ""none""]"	"[""same"", ""same"", ""shift"", ""same"", ""same""]"	"[[""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [], []]"
76	2:14	5	"[""none"", ""none"", ""candidate"", ""candidate"", ""none""]"	"[""same"", ""same"", ""same"", ""same"", ""same""]"	"[[], [], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], []]"
77	2:15	5	"[""none"", ""candidate"", ""candidate"", ""none"", ""none""]"	"[""same"", ""same"", ""same"", ""same"", ""same""]"	"[[], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [], []]"
81	2:16	5	"[""none"", ""none"", ""strong"", ""candidate"", ""none""]"	"[""same"", ""same"", ""shift"", ""shift"", ""same""]"	"[[], [], [""number_change"", ""person_change"", ""subject_shift""], [""number_change"", ""subject_shift""], []]"
82	3:1	5	"[""none"", ""strong"", ""candidate"", ""none"", ""strong""]"	"[""same"", ""shift"", ""shift"", ""same"", ""shift""]"	"[[], [""number_change"", ""person_change"", ""subject_shift""], [""number_change"", ""subject_shift""], [], [""number_change"", ""person_change"", ""subject_shift""]]"
84	3:2	5	"[""candidate"", ""none"", ""strong"", ""none"", ""none""]"	"[""shift"", ""same"", ""shift"", ""same"", ""same""]"	"[[""number_change"", ""subject_shift""], [], [""number_change"", ""person_change"", ""subject_shift""], [], []]"
89	3:4	5	"[""none"", ""none"", ""strong"", ""strong"", ""strong""]"	"[""same"", ""same"", ""shift"", ""shift"", ""shift""]"	"[[], [], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""]]"
90	3:4	5	"[""none"", ""strong"", ""strong"", ""strong"", ""strong""]"	"[""same"", ""shift"", ""shift"", ""shift"", ""shift""]"	"[[], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""]]"
91	3:4	5	"[""strong"", ""strong"", ""strong"", ""strong"", ""none""]"	"[""shift"", ""shift"", ""shift"", ""shift"", ""same""]"	"[[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], []]"
92	3:5	5	"[""strong"", ""strong"", ""strong"", ""none"", ""strong""]"	"[""shift"", ""shift"", ""shift"", ""same"", ""shift""]"	"[[""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], [], [""number_change"", ""person_change"", ""subject_shift""]]"
94	3:5	5	"[""strong"", ""none"", ""strong"", ""strong"", ""strong""]"	"[""shift"", ""same"", ""shift"", ""shift"", ""shift""]"	"[[""number_change"", ""person_change"", ""subject_shift""], [], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""]]"
95	3:5	5	"[""none"", ""strong"", ""strong"", ""strong"", ""candidate""]"	"[""same"", ""shift"", ""shift"", ""shift"", ""shift""]"	"[[], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""person_change"", ""subject_shift""]]"
96	3:6	5	"[""strong"", ""strong"", ""strong"", ""candidate"", ""none""]"	"[""shift"", ""shift"", ""shift"", ""shift"", ""same""]"	"[[""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""person_change"", ""subject_shift""], []]"
97	3:6	5	"[""strong"", ""strong"", ""candidate"", ""none"", ""candidate""]"	"[""shift"", ""shift"", ""shift"", ""same"", ""same""]"	"[[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""person_change"", ""subject_shift""], [], [""independence_transition"", ""subordination_transition""]]"
99	3:7	5	"[""candidate"", ""none"", ""candidate"", ""strong"", ""candidate""]"	"[""shift"", ""same"", ""same"", ""shift"", ""shift""]"	"[[""person_change"", ""subject_shift""], [], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""subject_shift""]]"
100	3:8	5	"[""none"", ""candidate"", ""strong"", ""candidate"", ""strong""]"	"[""same"", ""same"", ""shift"", ""shift"", ""shift""]"	"[[], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""]]"
101	3:8	5	"[""candidate"", ""strong"", ""candidate"", ""strong"", ""candidate""]"	"[""same"", ""shift"", ""shift"", ""shift"", ""shift""]"	"[[""independence_transition"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], [""person_change"", ""subject_shift""]]"
102	3:9	5	"[""strong"", ""candidate"", ""strong"", ""candidate"", ""strong""]"	"[""shift"", ""shift"", ""shift"", ""shift"", ""shift""]"	"[[""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], [""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]]"
103	3:9	5	"[""candidate"", ""strong"", ""candidate"", ""strong"", ""strong""]"	"[""shift"", ""shift"", ""shift"", ""shift"", ""shift""]"	"[[""number_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], [""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""]]"
